Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini,fdi_gdp,portfolio,reserves
2000,947667.0,9985847313.85485,,,2.82209015133954,4.766,,2264.91863707719,0.84417883295442,5.30800056,55.978,,,33.3195406430062,,8.56085877135346,29134419.900206,1868515473.45376
2001,964127.0,10397898907.1038,,21.6125202178955,3.15322215947894,4.043,,2202.31996036706,0.726045427625199,5.33940458,57.524,144.419255356415,,33.9330499112149,,9.08590170377257,88899028.9901779,2396061101.36783
2002,981440.0,11420228846.1538,,25.1022891998291,2.1301607353618,3.336,,2193.91481710233,0.203782197587219,5.61565971,61.01,149.493012840461,,35.4684391849214,,9.66223830535239,-3832305.97176055,3181358209.38615
2003,999590.0,14547329558.3239,12.0,31.9552307128906,1.98516312435716,4.153,,2345.28181012039,,5.63568783,63.006,147.195228621501,,38.9387800604299,,6.24270945639917,-82886.419303226,3450932654.51066
2004,1017875.0,17320551250.0,9.0,36.0204582214355,1.9557691617927,4.77,,2162.85328059404,1.57190147518041,5.40558147,64.687,147.338509151311,,37.4612788377622,30.1,6.459620091748,-13886100.1488906,4113824037.25478
2005,1036151.0,18433412510.8817,20.0,34.102180480957,2.03746974323698,5.481,,2161.54002386306,1.93021966382329,5.43580961,64.03,156.676015413795,,38.5371858780148,30.3,6.30362669067508,13211550.8223915,4429824566.75242
2006,1054418.0,20072754986.8272,,34.3019485473633,1.8999978625024,4.593,80.4972711050561,2209.33213219678,1.42258572975803,5.46357489,59.031,162.937571285187,,38.0300166381323,31.1,9.32556556614527,45974475.4654809,5942554137.32535
2007,1072714.0,23968727073.6381,3.0,36.2316017150879,1.68459965831751,3.946,71.9742018297407,2293.75458684904,1.21187996608601,5.35744858,53.15,180.680730068928,,37.3479175346651,31.1,9.57345612845137,1439477.77706311,6506542487.54211
2008,1091026.0,27958384913.4219,11.0,40.8491706848145,1.62970494449745,3.756,28.5707848458917,2399.21662682596,0.824911218930063,6.01430845,44.126,212.209238098344,3.59414947955595,37.9683043356125,31.7,44.3647557897632,-2163451376.42768,1004746547.28045
2009,1109371.0,26048190775.3879,6.0,47.6964492797852,1.81681950779024,5.594,39.4225844264882,2311.55219411824,1.71268223164298,6.46531534,52.821,226.355979301383,4.50936302926019,40.8306069823963,32.1,252.66766836908,705484896.170907,1281245251.30565
2010,1127816.0,25799940416.0167,4.0,48.311580657959,1.85292455056688,6.359,26.4895960602965,2192.46748939146,0.709335250902962,6.50055742,55.34,234.2515929319,5.82172259923197,40.6065897416938,31.5,125.272736246416,433872909.296315,1141718898.06676
2011,1146493.0,27641553201.0506,,46.5397300720215,1.73783209097559,7.942,10.3225747816933,2093.44029665285,0.785002954663899,6.43139076,64.806,242.541120297858,9.98623419964974,41.8706223100365,32.6,151.736913469908,681376176.071465,1187122352.5629
2012,1165397.0,25047433099.5891,4.0,45.8635902404785,1.65475170209627,12.097,7.96788234572725,1936.16516091053,1.88776871744135,6.53638792,79.152,249.218122126626,18.3749456234795,52.6432632319096,34.3,289.858155745793,445366141.869507,1191085645.63035
2013,1183895.0,23959708956.2926,2.0,47.470890045166,1.60700908951525,16.131,8.7844556202225,1646.32678982431,1.01360340232875,6.92774534,102.652,254.66806457038,38.5570399026522,44.9137727181064,37.0,108.090333712845,447646293.519668,916261841.409657
2014,1201801.0,23225912183.4991,4.0,52.1083793640137,1.54260195978916,16.277,17.3556154356935,1659.57813297538,0.915293345276525,6.93137264,108.757,251.830384825679,44.972072758843,50.8825846479159,35.6,233.165814267121,1552352030.93451,893890213.595586
2015,1219502.0,19909269064.8473,6.0,59.8640594482422,1.64766762744388,15.026,13.5233493064486,1677.40248205105,1.2300107871946,6.79382181,106.799,243.416337343981,47.7478457712877,41.7266838953056,34.0,137.220747221649,1192242636.21906,807868870.831619
2016,1237112.0,21046452117.3759,3.0,68.3754730224609,1.40455761221209,13.006,11.9323342083653,1761.87442919766,1.05083409956653,6.65254688,102.607,216.242757371797,36.6991177413135,38.1375311510325,32.9,15.8272346194166,741506582.729689,812488586.049063
2017,1254275.0,22946583375.5506,8.0,79.827522277832,1.56810293907547,11.155,12.2998390525652,1794.01732213218,0.558091105183829,6.62192535,92.624,191.783932232274,31.3888946804868,36.8458898245716,31.4,184.054180339924,-336033590.171098,887692448.704109
2018,1270737.0,25754011492.2204,4.0,86.5899276733398,1.74983319036456,8.504,12.8659179988365,1773.61456364017,1.18041688389616,6.78446245,101.141,135.318599181494,19.5205102196929,40.3410835750321,32.7,307.086610313426,10267870198.4773,924201541.467494
2019,1286671.0,26196660680.1176,4.0,93.9260711669922,1.76959353705638,7.155,16.3565503722849,1758.05457120745,1.16579872951254,6.99843168,93.048,106.68413611383,17.093103648854,38.505858012453,31.2,431.788575910459,228300811.397714,1033463563.89138
2020,1302247.0,25555082266.6429,2.0,102.390762329102,1.89553437845021,7.755,18.3648792480156,1638.57191138119,1.15185477415008,8.64796448,114.929,106.473520309929,15.0190835443793,43.6947268030349,31.7,-296.013333456363,-6902489127.527,1237326347.35603
2021,1317309.0,30372637513.1352,1.0,106.362930297852,1.78406744246115,7.513,18.6087889059872,1666.21660995085,1.21459779542909,8.87445068,99.251,87.3952443793853,8.99828242700788,40.6785279078526,31.3,21.8171208826836,1560554164.55585,1611044560.40988
2022,1331370.0,31218047043.8386,,105.384979248047,1.72118847605333,6.806,20.9259086285134,1682.70492545045,0.600884802872229,8.27201366,85.594,70.8069403957086,7.65863990451331,36.2005584745208,31.5,0.172623567791445,1427558842.91259,1670555054.09173
2023,1344976.0,35075440602.5202,,107.26212310791,1.6506068333336,5.835,29.5937266123869,1672.78575414138,0.81785876397005,8.11912918,77.284,60.571861381716,6.10873133673663,38.4593865037483,31.8,-63.1546391215421,-1079638209.33866,1789237786.1808
2024,1358282.0,37634551820.7367,,120.87727355957,1.64735214954921,4.9,29.038422065062,,,,70.605,56.6577631532363,4.1838443775525,,,-133.824213233455,1419484340.71863,2087252552.47629
2025,1370754.0,41225787247.3309,,,,4.924,67.7370933694127,,,,63.915,,2.13493993731872,,,27.0778550174763,482514875.617554,2947568615.4458
