Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini,fdi_gdp,portfolio,reserves
2000,10289898,118605192877.388,81.0,,1.4070359633161,4.717,51.1619167153418,2390.18870122638,1.12805303055093,8.60104179,54.193,,,37.191454590642,,6.14861920837231,414760250.603397,14262113156.7969
2001,10362722,121604107164.997,107.0,,1.44506185476172,4.801,38.1054645935004,2391.32113737669,1.01406904912049,8.62751579,57.38,115.00275429921,,38.056193389757,,5.02761444190448,2371957994.86195,15060281506.1228
2002,10419631,134795565549.419,130.0,,1.4648125666589,5.779,31.7854299029532,2477.60275830907,1.14279743752163,8.78642941,60.044,119.052209613682,,38.4231231303128,,0.436137292252839,3224778027.82608,17700956382.113
2003,10458821,165226175536.793,125.0,,1.43358027472409,7.038,35.2757302592295,2400.86139844201,,9.12415695,63.897,120.671996162222,,39.746800422034,38.8,6.26697257909762,9866130426.7809,12813462307.6531
2004,10483861,189382122532.169,123.0,,1.50609147993081,7.392,37.0892347497419,2463.10248808928,,9.5325079,67.099,121.19077411841,,40.3509034197459,38.9,1.312247289237,7252007985.4979,11684065090.9578
2005,10503330,197253876704.921,158.0,,1.59379180313443,8.343,33.9528941680511,2519.13901861547,1.28534783916604,9.65306759,72.249,124.773021846414,,41.3042466938943,38.5,1.70741232717781,5198230777.28455,10364170168.4847
2006,10522288,208756449275.848,184.0,,1.51208523296058,8.408,49.9085515017207,2390.46374599498,,9.35422611,73.679,133.41295217927,,39.9655434630104,38.1,6.41633004151996,3519894828.4517,9882747256.04138
2007,10542964,240496147317.381,250.0,,1.37790810197484,8.722,54.9857207589633,2402.51066519403,,9.25186634,72.728,142.235675042564,2.402987475193,39.1639890772347,36.8,2.50093088549298,304575505.084555,11512068377.0956
2008,10558177,263416394624.084,381.0,,1.41594674624287,8.315,26.147203213487,2337.4925314705,,9.58307838,75.643,151.481176609982,3.20857811603958,40.201497485402,36.6,2.96892594201258,9025220010.12182,12006451708.5586
2009,10568247,244667762835.543,571.0,,1.53406376621365,10.177,40.1553514289654,2304.1784841547,,10.13070393,87.799,159.861301937173,4.47774053191898,43.2776433601829,34.9,2.35133912553896,2986894704.98557,15781930170.534
2010,10573100,238443864993.217,499.0,,1.48615299877848,11.506,34.388261573571,2222.62833547109,1.1721711445495,10.01858425,100.214,155.388888349273,4.81369446409075,44.1455271039697,35.8,3.77376819569615,-1107343382.82831,20936757462.4983
2011,10557560,245426767676.002,571.0,,1.48992161044294,13.585,25.1357627304285,2164.03219875257,1.07984686066494,9.71847439,114.403,156.062341019849,6.58524987406531,44.4757197536512,36.3,4.23648756430888,-9212565168.47262,20801304306.6758
2012,10514844,216536676771.973,621.0,,1.40383146309083,16.636,30.2577101379439,2039.16999711033,1.16045143463187,9.64000225,129.035,152.728675156307,8.47930510282067,44.362913573288,36.0,7.21535195239496,-10006793735.7721,22658232425.8407
2013,10457295,226677408291.745,647.0,,1.43957267155316,17.216,34.929771165415,2055.58816601984,1.37689714793445,9.39476109,131.43,142.933688214656,9.56475761795516,45.5809604098825,36.2,6.43654323197598,-241049424.924059,17589253884.7934
2014,10401062,230078616299.675,722.0,,1.30668261277534,14.546,25.1106299790806,2035.41142547114,0.884088459392736,9.33570766,132.941,129.651173714521,10.8840579283017,47.560533270166,35.6,5.43851031792652,1920822327.81846,19700737012.1143
2015,10358076,199038523119.639,925.0,61.7960205078125,1.32892803352448,12.862,30.0631199740327,2121.0872664787,0.96429532624377,9.33309937,131.179,120.048513231382,17.6784152469731,44.0036278174494,35.5,0.63522205292535,-943315267.827,19402623792.0829
2016,10325452,206305431241.638,724.0,63.2387504577637,1.54200474856982,11.268,27.7526498262106,2111.0971132123,0.637904765071273,9.39989281,131.506,111.328568595891,17.2783688162153,41.3199326718019,35.2,3.56282992803299,-1079181928.42785,24989773864.5767
2017,10300300,220862990767.229,644.0,64.2040176391602,1.23983975869036,9.217,34.224669578664,2209.9813508898,0.735661094098411,9.32668972,126.143,102.855290609028,14.1599573187475,41.668947889985,33.8,5.02041551787587,484696879.347745,26096701287.2382
2018,10283822,242092894542.888,661.0,65.1127395629883,1.34147881873726,7.183,25.5825785281109,2140.97558921814,0.784476811591817,9.42121029,121.481,97.0963051936704,10.1876415339655,39.2823047343675,33.5,3.46584287446499,-258038190.311357,24920338987.3177
2019,10286263,240115970063.019,703.0,66.0920562744141,1.37395750042211,6.65,,2115.18570481977,0.705776821960449,9.50868607,116.608,93.35554945374,6.78401726884444,38.6689545444553,32.8,4.5038935303436,-1015047180.14068,25002862227.513
2020,10297081,229618773422.577,695.0,68.1568908691406,1.42613611053982,7.117,,1957.30550192994,0.78106023430457,10.52074051,134.897,104.074185342131,5.60342554555474,44.5273320079934,34.7,1.8141455418251,-274810120.329158,29459811842.7908
