Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,credit_gdp,npl,gov_exp,debt_gdp,fdi_gdp,portfolio,reserves
1980,2413945.0,11896256782.8566,2.0,,4.6368613562022,,205.257085869128,,,,,68.9071342425086,,15.3230046077249,,10.3877283805227,146179143.447649,6566785016.54948
1981,2532835.0,14175228843.6391,4.0,,4.74135516251602,,245.552649512388,,,,,75.3426462836057,,17.853848181339,,11.7103417060639,156672175.749474,7549238396.65926
1982,2646466.0,16084252378.473,,,4.65119017480232,,72.944391345803,,,,,80.1207726625311,,16.176591762504,,9.95912280287286,97662410.5238889,8479773882.97042
1983,2681061.0,17784112149.5327,5.0,,4.07146856786832,,87.2989321561827,,,,,85.6088076094382,,16.5090125597772,,6.37594925354328,200657816.994703,9264230225.75955
1984,2732221.0,19749361097.965,4.0,,4.69881540453695,,62.0096515489907,,,,,85.3286812491613,,18.7872630025114,,6.59196673143056,18283392.5879257,10415963053.0829
1985,2735957.0,19156532745.7691,4.0,,5.65661291547353,,57.7832123740909,,,,,87.6053525455916,,17.9527589886156,,5.46417677336253,530872895.110314,12846550087.8735
1986,2733373.0,18586746056.9974,,,5.44251155937074,,89.4185563682515,,,,,84.350018462953,,22.656855624598,,9.20162995625447,-193807646.690942,12938978724.9398
1987,2774789.0,20919215578.2125,,,4.87061150486237,,85.4564069726342,,,,,80.5760765760327,,27.0035895015313,,13.5578926036223,321465032.170246,15227011369.1498
1988,2846108.0,25371462488.1292,,,4.54786526287383,,94.6408588438079,,,,,76.3526930339888,,18.9772852750116,,14.4051395946458,35777730.8471123,17072512755.8504
1989,2930901.0,30465364738.6206,,,4.49289825625078,,117.919185633313,,,,,79.5403573729581,,17.5538465302527,,9.47499553012531,399998290.82472,20371048592.5303
1990,3047132.0,36144336768.7023,,,4.63214447298365,,94.8101502575458,,3782.71772957552,1.54626066467495,,79.1646747233386,,17.0656936998793,73.508,15.4235472379855,572734294.541711,27789982289.34
1991,3135083.0,45466164978.2923,,,4.44835667304419,2.18,104.678721028535,,4167.37343867502,1.62612461662518,,79.8711021252107,,17.8781505115682,76.351,10.7488600422674,-241845387.977193,34186648637.5145
1992,3230698.0,52131320032.8797,,,4.47136864604274,3.09,93.8660290380852,,4588.88701797782,1.3327281301251,,81.0855367745248,,16.5414118195671,79.023,4.22844121278652,1398309766.92791,39941405839.6469
1993,3313471.0,60603815716.2653,,,4.09176493399803,3.07,218.910077578488,,5487.72262199385,1.74809788865943,,80.9717012635425,,14.5757231950377,71.193,7.73270125338351,2759020479.65161,48416241487.7072
1994,3419048.0,73688724431.1412,,,3.79143512807907,3.03,181.966102731633,,6460.58950762107,1.43366365138918,,81.1902405393255,,10.9181789589838,70.691,11.6030848586318,168844142.148131,58295758863.2458
1995,3524506.0,87812540788.4293,145.0,,4.18255823202502,3.3,168.545675448104,,5346.98780182868,1.52817595644359,,88.2934969585412,,11.9264072220486,69.823,13.6003946544884,-159449686.921245,68816102850.1861
1996,3670704.0,96293086513.0872,224.0,,4.25807867594854,3.57,155.819659991486,,5359.513368456,0.900517388172113,,93.7418064299455,,16.164716903869,71.272,11.8724659997363,677001670.755399,76963971491.1019
1997,3796038.0,100123787215.299,288.0,,4.45180554322353,2.5,104.308858968173,,5818.45053429947,1.00088960648576,,96.470304928416,,13.6313737518868,70.787,15.6823709085456,-444367866.281058,71390079571.8017
1998,3927213.0,85728207781.7785,311.0,,5.20979627795524,3.41,110.799785108991,,5083.35878222717,1.02526838001829,,107.93107365818,,15.721913728464,84.646,6.95062480351291,1001612291.25608,75077193404.11
1999,3958723.0,86286849754.8905,374.0,,5.2072614143348,4.85,223.653071757973,,4587.57994680042,0.983220460464831,,102.707304148647,,14.7723970530418,85.32,21.8492034558928,3118427806.41392,77047140631.9869
2000,4027887.0,96076539925.7409,516.0,,4.50757218998215,3.7,159.06735413049,,4634.81368272521,1.01604735276297,3.343364,96.0524631654193,,15.7167317505512,82.256,16.1488904515269,-1168644344.7173,81084978988.8664
2001,4138012.0,89793790669.6515,524.0,,4.79890680085725,3.76,128.838084612793,,5146.02323865296,0.777422484904642,3.16302657,115.023967340769,,18.1694321928128,94.471,18.9398606857353,-89411167.186883,76599880561.2857
2002,4175950.0,92538372869.6942,624.0,,4.89323655491523,5.65,109.66855894787,,5066.19603486754,0.747547711931284,3.358464,102.024223572871,,16.1456287066659,96.31,6.65366588247055,-577687221.983835,83413380412.0008
2003,4114826.0,97646401095.6369,626.0,,4.83752738541917,5.93,152.082041256752,,6217.05880619521,0.652450495318668,3.60699272,104.782800634148,,15.9371823893899,99.131,17.4624153696896,2772440711.36791,97742808490.4118
2004,4166664.0,115033593101.049,641.0,,4.38428661801237,5.84,189.071169679057,,7371.02793327917,0.479298211558636,3.15019798,95.7289657619849,,14.3921042209913,95.691,21.2027237505542,2318799136.6058,114161298698.232
2005,4265762.0,127807848728.398,569.0,,4.27504313120819,5.59,201.348948879397,,4925.75757554205,,3.03367925,89.2233561956159,,12.5938426968405,92.663,15.1133588478775,4905498836.66612,118061328490.524
2006,4401365.0,148627286361.351,626.0,,3.92291119365444,4.48,258.557065400294,,5128.30865666219,0.385744866530007,2.9347465,84.2870559979133,,13.0568922267559,86.524,26.3271523046735,10062599647.5623,138652617421.388
2007,4588599.0,180941701357.97,696.0,,3.602552791077,3.9,297.983619007377,,4537.4171693226,0.391601028170255,2.83749056,85.3517596047783,,12.1489884766129,87.789,26.1619888768056,18062683229.7312,166160593181.672
2008,4839396.0,193617323539.203,793.0,,3.85002679403201,3.96,136.854696241243,,4958.46248257993,0.561711146908061,3.19488454,97.8643623312414,1.42549965541006,14.5049163763371,97.853,7.02328608228286,-11657542290.6728,177543472508.271
2009,4987573.0,194150283771.566,750.0,,3.88242334748021,5.86,247.873292096872,,5321.08304981114,0.402530508038786,3.39370513,96.8613765494725,2.03438434173328,14.303988923297,101.689,12.0710944143275,962039082.22544,192046029172.212
2010,5076732.0,239807980591.24,895.0,93.2696812803906,3.38139843984389,4.12,269.893607545621,,4856.84920025022,0.374235722020857,3.1982615,94.8584026979012,1.40635425755787,12.4128043266242,98.674,23.0694716770802,4248818916.88719,231259743357.534
2011,5183688.0,279356499090.458,1056.0,95.9817452372883,3.19387456850782,3.89,214.161010016908,,4086.3260711538,0.30874685632986,3.1539185,104.703673841577,1.06045560853893,12.7726522542327,103.13,17.5960314065854,-5236147488.13434,243798272471.038
2012,5312437.0,295092888076.589,1081.0,101.99681244982,3.10816619008299,3.72,259.266824418157,,4787.02308838074,0.20780832213766,3.32392788,112.973543165736,1.04262808908742,12.3839623831082,106.725,18.7435244231802,2836734819.38247,265910197708.28
2013,5399162.0,307576360584.992,1143.0,,3.03849114883637,3.86,242.025501759684,,5273.75292208676,0.315657239686991,3.68225336,124.065951568619,0.866941606339939,12.3753378735642,98.185,20.9344810446532,-7665627747.14297,277797711589.929
2014,5469724.0,314863580758.455,1303.0,,3.04786038477706,3.74,239.097519054618,,4986.32779651842,0.256508913684751,3.87132597,128.129763309946,0.756532862271537,13.1510655902688,97.749,21.8184880782679,-916380569.038317,261582777243.075
2015,5535002.0,307998545269.398,1469.0,,3.04671265935693,3.79,207.778870981435,,5242.6504334371,0.253378095590325,4.18061399,122.421353845761,0.92406290512104,15.9255259430938,102.239,22.6541826890491,-2043169130.61662,251875782494.842
2016,5607283.0,320759207438.623,1601.0,83.9409778236648,3.09531096262441,4.08,199.659910613532,,5449.41985010808,0.32270038551043,4.37989521,123.054693783234,1.22253307180161,14.365859744936,106.458,20.3059406285478,7551320950.63437,251058293461.882
2017,5612253.0,344795119213.571,1609.0,84.7929138455372,2.97201085878766,4.2,228.325543527304,,5799.39529471808,0.196285615913482,4.35978413,120.442638051885,1.40020092664899,14.24151324768,107.772,29.5741008560154,14648949073.9902,285000274600.258
