Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini,fdi_gdp,portfolio,reserves
2000,19637087,4982850662.20851,,,0.4436304,10.456,10.0344167203757,322.127334642966,,1.66343236,80.17,13.971491324036,,,,3.32941946782064,,308900898.386218
2001,20167069,5314872854.4405,,,0.264452812963597,9.615,5.26823515196726,313.165728366048,2.14706465642242,1.86866331,61.919,11.8843912608955,,18.7116417612495,,1.68056701347756,,375936405.544189
2002,20729388,6166197847.85031,,,0.260305614783227,8.711,5.67610719986902,303.797214535662,1.93445170691966,1.94694591,57.96,12.1495373048323,,20.0290266464737,,0.955694277966518,,636059799.997825
2003,21296705,7632723555.66221,,,0.30375830974791,7.728,8.3849492953957,281.217826361178,2.04726505813928,2.14935279,52.847,12.493048761649,,22.0203756781146,,1.7916409392104,,1470061309.67805
2004,21868298,8881417906.71432,,,0.277570912276859,6.758,5.40454243952558,270.192103863779,2.06691897101457,2.36955285,41.107,13.1724893671741,,23.4793110246594,,1.56810546990152,,1749729259.35718
2005,22449438,10744568381.4456,,5.35099983215332,0.260967076343411,5.816,5.6772871496019,261.893368449293,1.75060061637178,3.27344108,33.993,15.5440688136274,,22.7457889920708,42.8,1.34923986570129,,1897057040.26241
2006,23040702,20885037596.6963,,4.7728099822998,0.262213532811969,4.897,3.63896879036607,274.133659952501,1.78813996205498,3.67208791,18.509,10.8575870160572,,15.2883466766383,,3.04529018468516,,2268926566.51141
2007,23642279,24827339138.4906,,5.92381000518799,0.370332914572864,5.104,9.67195874920483,263.025409302741,1.68765456155898,3.70900321,22.549,14.4884302260337,,17.8651441453915,,5.57118876952139,,2218311347.67966
2008,24249946,28679383241.0729,,7.91365003585815,0.294033500427925,5.144,9.91785623871593,276.023736903457,1.77319982485734,3.72533512,24.644,12.6134904703492,7.67772566797717,20.5460947523142,,9.46643908231485,,2014205287.49439
2009,24862664,26048720005.5233,,8.29780006408691,0.336757870912986,5.362,9.3172332440342,274.268692555035,1.71743458952278,4.17717743,26.792,17.7369732584538,16.200000013472,18.027952390966,,9.10808669100415,534537000.0,3691822335.02409
2010,25474995,32197655566.5347,,,0.282687655236928,5.384,9.15498333072344,296.099589771501,1.65652636352875,4.52302933,34.507,16.6607748086712,18.0818565043657,20.1575042881243,,7.84948455261709,18140000.0,5158151628.84547
2011,26095088,39336668080.559,,11.2824466895305,0.43515452267479,4.213,7.87689997956728,302.776311436787,1.62099472513754,4.46374655,31.264,17.1952826473503,14.1459892948403,21.1409260461554,,8.2558797134245,,5913600037.24248
2012,26734268,41271701060.954,,11.4938894891938,0.593208552483374,3.126,,328.520151456093,2.09468981730321,3.93023658,35.351,18.0717128637123,13.1966714743995,26.8839178478186,42.4,7.98251565917851,,5835098328.20187
2013,27386193,62845721959.827,,13.4205396326832,0.400294579040699,2.173,,323.671149524462,2.01196278014916,4.59225416,42.93,15.2923716479322,11.9989351569178,19.2811347818803,,5.13479660884921,,5587739126.3869
2014,28041592,54678533805.9064,,15.0809451652103,0.484989051455069,4.403,,321.354700935333,1.93640928203346,4.01644135,50.111,16.5048906269026,11.2691730269489,18.2035086076329,,6.15120635162518,,5563709271.19552
2015,28696068,49436806230.4839,,15.5618871637579,0.392915126090548,6.806,,325.604049227551,1.82951897503029,4.54299259,53.896,17.9335670472186,14.6736173400465,17.3642996458735,,6.45737614178894,,5742645886.29529
2016,29356742,56144179397.8516,14.0,15.606270735823,0.291412454265461,5.256,,327.930479432879,1.87009855981462,3.39035821,55.942,17.4356386560413,17.2944005721657,18.2895853622151,43.5,6.20782671803196,,5866729596.16504
2017,30008354,60385409434.8567,15.0,16.2065694246062,0.312701278609545,3.369,,351.113971311685,2.02943487003652,2.68786979,56.984,16.0995201444141,21.5912492157277,17.355240305187,,5.39035841681501,,7015187159.64987
2018,30637585,67259353965.6087,13.0,15.9045597520982,0.32587623925291,3.204,,378.657496575592,1.63198244300232,2.43001175,61.976,13.7141432192203,18.1871529944042,17.6018475152484,,4.4440435772374,,6294851564.02725
2019,31258945,68352629246.1555,,17.3607250095097,0.343818178617089,3.067,14.5764400139156,380.421155062376,1.82667713193775,3.25450468,58.347,13.9372113856401,13.9419112610375,17.5109450941033,,5.67619931009197,,7563210340.92838
2020,31887809,70008243859.8666,12.0,18.6139938594155,0.350949233772808,3.178,13.2090586624488,392.373098140481,1.74047705817606,4.4331708,72.337,13.058528858537,14.7938784472408,21.8835544057028,,2.67937438514205,,7884091538.70727
2021,32518665,79514204730.3979,,19.2005186528071,0.382741906430833,3.2,13.1888635943193,382.191892428598,1.85431966533681,3.86030865,79.159,13.0544311231372,15.1166575274938,20.7508748712557,,3.18633188953992,-40424552.4614335,9916916899.67781
2022,33149152,73919003212.1998,,20.44559258931,0.337946355940024,2.87,8.74424670127752,361.562855486466,1.83111773115644,3.67459154,92.687,13.2885237876886,14.7948102065663,22.6789929500877,,1.93240124333448,-21373635.5606327,5205457212.278
2023,33787914,80547146875.9526,,22.0958254757285,0.398080247565807,2.829,7.70916195152513,369.331287865765,,2.94686937,82.936,9.44619497401401,20.5784141422521,,,1.63794208218413,-9279759.10791064,3623904994.58702
2024,34427414,83288585604.0268,,21.330810546875,0.383994182354107,2.82,9.09517185946037,,,,82.515,8.92435396216065,21.7917694428275,,,2.11980137105215,-53309339.5265678,4472457558.56406
2025,35064272,114209905278.717,,,,2.979,14.3985059438311,,,,79.515,,18.9178099466033,,,1.6708218135385,-56364659.3388269,
