Year,Population,GDP,Patent,EduRate,Gini,Military,Arable,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,energy_pc,murder,health,fdi_gdp,portfolio,reserves
2000,56942108,1149661363439.38,7877.0,,35.2,1.7333974080779,8479000.0,10.834,66.8338846929092,,,39.3753190414545,3012.48356350836,1.33747271243561,7.54701233,1.14581409094162,3528856797.0691,47201146787.795
2001,56976981,1172041488805.87,,53.4531898498535,,1.66687444230505,8339000.0,9.599,45.0041474672888,60.1430295695027,,39.8629674197254,3020.75373063924,1.23722291409081,7.71115828,1.26941636801649,5532878401.43288,46215583156.0919
2002,57089824,1281746271196.04,,56.3153915405273,34.7,1.69394254893483,8287000.0,9.211,37.220737888695,61.8212741982326,,39.343137327951,3035.91851152815,1.12154817534866,7.83638906,1.34499006490549,-195332565.861676,55621728398.7297
2003,57399184,1582930016538.82,,60.0055885314941,34.9,1.69839951235756,7959000.0,8.869,38.8419932388667,65.1142715448061,,39.5095420420099,3164.10814422149,,7.80670929,1.23649728851371,5267865255.75733,63263645220.8155
2004,57828179,1812808753294.75,,63.3327293395996,34.3,1.67228931403318,7979000.0,7.866,43.5546561966331,67.4938632024209,,38.712773171034,3162.43494730256,,8.13726902,1.10881762156492,25228561271.7538,62386140318.1329
2005,58166682,1864982261286.85,,65.3270263671875,33.8,1.59516123663349,7780000.0,7.73,42.792518007615,70.5936221522486,6.99617313682385,39.0437931279002,3204.1351997897,1.04238414237751,8.30906773,1.9711754818286,10684408706.0276,65954006492.1648
2006,58399861,1958563654385.64,,67.2835083007812,33.7,1.51434317166841,7376000.0,6.777,52.4110721498092,75.4232323557397,6.56811457626493,39.604793801922,3162.24131154867,1.06374952167439,8.39791012,2.91006549515942,21624246685.1933,75773325816.1903
2007,58756247,2222524108127.65,9255.0,68.8725967407227,32.9,1.44091823807458,7171000.0,6.076,48.2575048827501,81.4531164394226,5.7776082194137,39.0743870144837,3132.89653716264,1.06752438557289,8.10167217,2.9684958153757,-6053289518.04272,94108647218.6732
2008,59211181,2417508414187.19,8588.0,67.5799865722656,33.8,1.53005124720846,7498000.0,6.723,21.5961105630954,83.3822670885069,6.28258103994626,40.556207059261,3067.89962633863,1.03254300197422,8.50157547,-0.393031898243063,-29048904094.3315,105649105827.66
2009,59555454,2209484319012.65,8814.0,66.9516296386719,33.8,1.54748909606347,6981000.0,7.749,29.6833177025251,87.1861669932861,9.44634373927879,44.0374979767778,2848.10100531328,0.984909015398894,8.91290951,0.751632233908177,20932315524.6521,131496916615.743
2010,59819407,2144936254535.0,8877.0,65.3790435791016,34.7,1.49431312454622,7042000.0,8.363,24.9452135870581,92.6676294931465,10.0278370674613,42.6929919174617,2904.35856014464,0.879260233986606,8.87928963,0.462974196548407,3817204297.69117,158478306213.386
2011,60026841,2306974020278.21,8794.0,64.2492523193359,35.1,1.46829220552997,6720000.0,8.359,18.7035669325814,93.5718818734975,11.7423491843706,41.8281531942746,2798.23628262725,0.914393555930683,8.728508,1.49396922230512,6058146005.52638,169872360984.741
2012,60191247,2097929495121.68,8439.0,62.3447418212891,35.2,1.41946238544527,7118000.0,10.655,22.9668008920411,93.2686875516145,13.7463696406392,43.4989070049363,2680.46208450702,0.87557696185202,8.7983427,0.0016635941816029,20840769994.7954,181670318701.146
2013,60311613,2153225581941.46,8307.0,60.8925285339355,34.9,1.39167747666985,6827000.0,12.149,28.5832713098768,90.3656642019387,16.5427056350995,43.7480535980426,2576.45615324387,0.827647126909968,8.7897644,0.907076904789878,17094800377.9861,145724509188.872
2014,60320707,2173255507985.84,8601.0,60.8831481933594,34.7,1.27633070266495,6728000.0,12.683,27.0245462552316,88.187471051349,18.0330469839718,43.5698249256497,2433.16257781775,0.782999237037301,8.85913563,0.783743281747353,28087940287.8913,142756493254.503
2015,60229605,1845428048839.1,,60.941291809082,35.4,1.20247316488401,6601000.0,11.896,,86.9158529570859,18.064368830052,43.5293517131866,2533.02354460955,0.774242762514025,8.84596729,0.720886367724088,13938985122.3463,130592432979.515
2016,60115223,1887111188176.93,8848.0,61.3571014404297,35.2,1.32773387933426,6697000.0,11.688,,84.4917347012215,17.1162385246124,43.2014022058276,2511.46353090755,0.668010320924807,8.72043991,1.35957350873308,-678679469.155197,135133283786.776
2017,60002252,1970720904584.71,8643.0,62.69580078125,35.9,1.35122350161336,6736270.0,11.211,,80.4167170633531,14.3832990405839,42.9465753087,2557.32535513975,0.622616360456986,8.69060516,0.44334154868577,19720516803.183,151120440050.073
2018,59877221,2099435266458.67,8921.0,64.4753265380859,35.2,1.35443317948295,6723000.0,10.538,,76.4482228153834,8.38628316437891,42.5027354888588,2514.69811221783,0.595578796289962,8.65467453,2.10769610409512,-5903011839.9178,152361936421.553
2019,59729081,2019606796583.53,9229.0,65.6895065307617,34.6,1.30611671363832,6914183.0,9.884,,73.4404069738438,6.74918443535525,42.2948307679073,2494.02659804115,0.527189893600108,8.61536789,1.77066894209208,18587217286.12,175397954131.108
2020,59438851,1907481094079.23,10061.0,68.7231063842773,35.2,1.72984958969454,7199414.0,9.192,,82.6528242104143,4.35972073669911,50.3444915572159,2313.10006204514,0.475691584209703,9.5643034,-0.893869914296462,-3143918842.804,210687330553.17
2021,59133173,2179207773596.09,10281.0,71.2745208740234,34.8,1.66286387777873,7192812.0,9.497,,76.0051221503914,3.34809683915317,49.6527178126937,2531.08698798735,0.50728829294141,9.28164482,1.20474315612308,5090109759.81248,227478327159.257
2022,59013667,2104067630319.46,,73.8962097167969,33.7,1.65164252620196,7084477.0,8.069,,69.5868608578087,2.79682283767597,48.3702644238252,2411.65172417311,0.540095240763765,8.85022926,2.94181405797187,-12600746940.2733,224580577612.139
2023,58984216,2316882296366.32,,75.9496536254883,34.3,1.60646040928357,7084477.0,7.627,,63.1228344360625,2.7140816371624,47.2773607528737,2298.39093933589,0.568072449338316,8.40559483,1.81363348239025,3898704708.22849,247396414253.983
2024,58952704,2383435562458.12,,,,1.60924561245844,,6.5,,60.3040047752275,2.7684931969344,,2231.202099939,,8.44437313,1.19623307999136,4223775072.54701,290547420426.359
2025,58915656,2551556954100.35,,,,,,6.391,,,2.46119407878722,,,,,0.034602983660439,6205827259.3399,434014519754.791
