Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,credit_gdp,npl,gov_exp,debt_gdp,fdi_gdp,portfolio,reserves
1980,12983363.0,24488224677.2105,,4.22949981689453,4.23013431379905,,,,,,,49.9093944623696,,,,3.81368591872655,0.0,5754999182.04393
1981,13399203.0,25004285791.7865,,,5.78515265651849,,61.1838311535591,,,,,57.7614427299394,,,,5.05788624278183,0.0,5024212852.13357
1982,13832798.0,26804493635.3297,,4.61836004257202,5.36761533421755,,51.7734458587517,,,,,62.7329281846127,,,,5.21254407721585,0.0,4832354977.84825
1983,14285907.0,30347442110.9316,,4.58163022994995,4.42337175628868,,74.7972429341037,,,,,69.9268922832321,,,,4.15365396776224,0.0,4672616248.25914
1984,14759009.0,33942897422.0465,,5.07356023788452,3.75235700817096,,56.9593389733501,48.5,,,,74.8901319924576,,,,2.34946607947751,0.0,4441615350.732
1985,15252258.0,31199633352.9598,8.0,5.98676013946533,3.4516587065961,,77.4173520783013,,,,,88.1746482509358,,,,2.22666868667977,0.0,5677019191.56415
1986,15760419.0,27734111399.7525,29.0,6.9483699798584,3.22373383244406,,53.5846625326983,,,,,101.466044640612,,,,1.76271777377718,0.0,6942091429.28088
1987,16276737.0,32181210157.9671,71.0,7.50098991394043,4.14749953752235,,56.7180970212246,47.0,,,,89.576617130172,,,,1.31343634347508,0.0,8572963845.63549
1988,16796605.0,35272109220.1988,73.0,7.47221994400024,2.42611237414745,,65.3667175276172,,,,,86.462487820721,,,,2.03962299468874,0.0,7490586591.65534
1989,17314997.0,38847965292.9185,84.0,6.66064977645874,2.62370169053434,,102.183421192554,46.2,,,,95.652884551424,,,,4.29333056736689,0.0,8733335043.236
1990,17833171.0,44024585239.6137,92.0,7.25777006149292,2.55540346486845,,108.731949976277,,1188.84060189268,1.75515616375798,,69.4126686877,,,74.129,5.29807441993264,0.0,10658831703.2052
1991,18342464.0,49143148094.2683,106.0,8.06015014648438,3.19928362097037,3.7,115.420363162725,,1433.30606817767,2.09350287108381,,73.7605458689796,,,67.319,8.13632963600556,0.0,11716563985.1807
1992,18834572.0,59167550162.956,151.0,9.16376972198486,2.98642173584104,3.71,150.433979022046,47.7,1542.61687062497,1.94323497387583,,108.529220477562,,,59.109,8.76047440214555,0.0,18023989163.2062
1993,19322664.0,66894966968.9736,198.0,9.45715999603271,2.87524536278848,4.11,320.990964984843,,1630.7489319844,1.86309708994844,,106.459806961915,,,51.134,7.4828391233144,0.0,28182868224.2061
1994,19820446.0,74478356957.7808,223.0,10.3980398178101,2.84711528130931,3.64,247.083189690015,,1582.13890684174,1.69521916913474,,109.217183990668,,,43.723,5.82961425798393,0.0,26338865720.8837
1995,20330599.0,88705342902.7113,141.0,11.2613296508789,2.7513451070467,3.15,240.972869283014,48.5,1671.57361488883,1.9478029631051,,124.414153627631,,,38.166,4.71024540158831,0.0,24698750841.4396
1996,20850087.0,100855393910.486,221.0,,2.40056437500985,2.52,303.567492157867,,1806.8714056465,2.14387594641691,,141.633739142087,,18.6890104519729,32.769,5.03534293107291,0.0,27891908787.2574
1997,21375218.0,100005323301.867,179.0,,2.08555865079224,2.45,93.2253473333452,49.1,2055.0627709161,2.52628996517626,,158.385047580688,,16.9903653365035,29.62,5.13624115805327,0.0,21470190357.5205
1998,21906713.0,72167498980.8398,193.0,22.9279899597168,1.60533534809333,3.2,132.416158727312,,1904.8817638131,2.87126605600909,,158.505378770173,,16.8127720720371,33.636,2.99775085201455,0.0,26235700001.07
1999,22435531.0,79148421052.6316,218.0,24.1853408813477,2.10148156029312,3.43,176.766495325238,,1885.28043320853,2.62084286351063,,149.152981074863,,18.5840060645556,34.363,4.9214666648934,,30930646965.9178
2000,22967816.0,93789736842.1053,206.0,27.5522994995117,1.63467554804841,3.0,120.648371356983,,2104.61130534021,2.39900911780206,2.51463366,134.999853925775,,16.5121871150754,32.518,4.03842862393763,,28650936563.5298
2001,23526538.0,92783947368.4211,271.0,26.960880279541,2.0849228116252,3.53,128.234240269557,,2138.33457477966,2.19751834720607,2.6753974,129.101375578239,,18.7453892602793,38.065,0.597029318252079,,29845803173.9213
2002,24102477.0,100845526315.789,322.0,28.92991065979,2.21913139689937,3.48,124.723589231054,,2156.94723368447,2.34415745618505,2.66876554,121.827344934405,,17.6745047793264,39.532,3.16612432250471,-55263157.8947373,33761683387.9318
2003,24679602.0,110202368421.053,376.0,31.2641696929932,2.61480673115727,3.61,145.926264838133,46.4,2256.65106815589,2.28933999827064,2.92417073,118.974148880103,,17.6261853193527,41.393,2.92094209456765,1339473684.21052,44309888490.9861
2004,25256772.0,124749473684.211,522.0,29.779899597168,2.26306196840826,3.54,145.590826667342,,2373.57770275285,1.96778903559431,2.86016941,111.937605148211,,18.8869059673282,41.96,3.50787262049412,4509473684.21052,66393546884.2326
2005,25836071.0,143534405818.501,522.0,27.1163005828857,2.17392904054248,3.53,125.766041229351,,2517.46451671722,2.33781672263912,2.78692698,106.524431907379,9.3902395222525,17.6866981371579,40.778,2.73438734940078,-1199564229.19665,70458190074.6077
2006,26417909.0,162692258307.056,531.0,27.6703605651856,2.00759740140051,3.32,144.801542772477,44.8,2474.39161833063,2.22576283384124,3.10897732,103.663830374316,8.49559864909982,17.7190817478083,39.662,4.72716484834358,2355154396.42724,82876090883.1742
2007,26998389.0,193549569477.733,670.0,29.375789642334,1.95850253260823,3.31,168.065607625866,,2586.98987893226,2.41495895208709,3.07041144,101.580075160148,6.49881057815871,18.1188211358944,39.348,4.68684578287436,-669082598.073837,101994768944.723
2008,27570059.0,230811614370.384,818.0,32.9037017822266,1.82484376549945,3.34,81.9885994542405,45.5,2681.00003448113,2.16539253688213,3.00692558,96.7482535065206,4.8081809717361,19.567987381224,39.361,3.28081949125174,-10715572866.205,92166457064.9209
2009,28124778.0,202257453036.641,1234.0,35.0602111816406,1.87148694418887,3.62,142.995665008995,,2485.91667427986,1.99468244682113,3.2610569,111.606889987937,3.62656549307932,21.6713098871415,50.408,0.056692316075743,-448620297.386261,96704054214.866
2010,28655776.0,255017638455.59,1231.0,36.6774305573553,1.49021010582112,3.32,160.25915794494,,2531.67710637413,1.88443680805509,3.16474271,107.122752573885,3.35402670735157,18.2319253890148,51.212,4.26864663854031,5590396901.7988,106528123469.784
2011,29162039.0,297951668674.835,1076.0,35.5661790570975,1.55285313376988,3.05,132.781206347852,43.6,2593.27310292824,1.81743121597224,3.31451917,108.425936705379,2.6813903080324,19.7347795900774,51.898,5.07446032143377,1174401456.19003,133571684231.728
2012,29662831.0,314443047642.111,1114.0,36.825516807355,1.41333070740643,3.04,148.385398722841,,2589.31990369775,2.02947587841498,3.45786357,114.124529817132,2.01584311320695,20.9798770041143,53.788,2.82905738174529,6046737057.79139,139730782665.941
2013,30174265.0,323276235524.415,1199.0,38.0700970900265,1.49929579850642,3.14,154.786326680734,41.3,2871.7567101939,2.07792968739967,3.51276922,119.899693910412,1.84914657141207,20.6021204303102,55.656,3.49431175959971,3836855365.73546,134853702251.859
2014,30696137.0,338066095097.254,1353.0,38.3919142029325,1.45511301633341,2.88,135.773559270401,,2883.13550906147,1.66144687296396,3.71036959,120.578651022847,1.64578545979142,19.6835443850248,55.373,3.14122940365348,61720711.9259727,115958875075.857
2015,31232798.0,301355266964.947,1272.0,44.289909239243,1.50389842704146,3.1,127.084770695097,41.1,2708.66289491905,1.59447772809976,3.82201481,123.10362963114,1.60682828804839,18.2910432040136,56.971,3.27094402931735,-4473546077.29177,95282342267.7486
2016,31789685.0,301256033870.334,1109.0,45.4034659569972,1.3843347942822,3.44,119.429409980014,,2760.83197397162,1.4344275283881,3.70085335,121.979820601963,1.61426825593083,16.7638213141114,55.787,4.47130958598651,-550276237.837574,94481267074.1533
2017,32355644.0,319109094160.343,1166.0,42.293211695146,1.10033460723613,3.41,142.826543755907,,2619.44252695383,1.1713566700858,3.71472311,117.167568374282,1.54918722685231,15.8258190286835,54.395,2.9358203805856,4535280846.23092,102446599680.702
2018,32910967.0,358788845712.53,1116.0,43.3100279300797,0.960104126677078,3.3,110.933967082941,41.2,2841.11800656893,0.981435762735261,3.75944281,120.276311883907,1.46819096481044,15.9220579344968,55.646,2.31458721219734,-1172523576.80257,101452531755.37
2019,33440596.0,365177721021.516,1071.0,40.8082966813944,0.893413280938052,3.33,110.619393447663,,2879.89449600209,0.9270169844912,3.83991051,120.706946299114,1.51612089778373,17.3574598059896,57.083,2.50697705748044,-1669720542.11834,103629721168.985
2020,33889558.0,337456163961.211,989.0,39.7445667367633,0.999653920235799,4.54,129.361356116813,,2719.43378264705,0.746542626101193,4.08254337,133.816995520751,1.56712671073386,18.4715851445262,67.693,1.20275464255821,-5637589753.23679,107643865229.363
2021,34282399.0,373784553029.978,883.0,38.1899993008367,0.982646998395369,4.64,110.835307837554,40.7,2781.735038205,0.708818550137325,4.37438345,127.260894609567,1.67512094984982,17.2542689687307,69.162,5.41626377085161,-425878214.124305,116915867599.997
2022,34695493.0,407830525989.553,,36.9853099297291,0.902025405170821,3.93,93.4719535951962,,3035.37257619634,0.691732496782795,3.90037823,113.070470558095,1.71862466561031,17.8962743152498,65.5,3.68486215546291,4165615255.06743,114658812345.11
2023,35126298.0,399949418752.657,,37.2745812491757,0.981466758859051,3.858,94.5256080579035,,3008.82419919301,0.734492430713877,3.95760036,117.099430029325,1.65317552035746,17.0088733715367,69.762,1.97990062716743,484310360.668201,113462632023.729
2024,35557673.0,422227005428.688,,38.5013945445142,0.987556748730683,3.846,106.45230746045,,,,,116.107410807392,1.4445175031204,,68.384,3.6930953933026,4975320204.08076,116229205257.758
2025,35977838.0,472193128644.597,,,,3.764,103.230530143289,,,,,117.938077066737,1.36970902816722,,68.06,,,125629250346.156
