E:\AI-Personal\SECM-Project\V0.6\tune\Argentina.csv credit_gdp:45 npl:21 gov_exp:25
E:\AI-Personal\SECM-Project\V0.6\tune\Greece.csv credit_gdp:24 npl:18 gov_exp:40
E:\AI-Personal\SECM-Project\V0.6\tune\Mexico.csv credit_gdp:29 npl:21 gov_exp:36
E:\AI-Personal\SECM-Project\V0.6\tune\Russia.csv credit_gdp:21 npl:16 gov_exp:28
E:\AI-Personal\SECM-Project\V0.6\tune\Turkey.csv credit_gdp:18 npl:20 gov_exp:34
E:\AI-Personal\SECM-Project\V0.6\tune\USA.csv credit_gdp:46 npl:17 gov_exp:44
E:\AI-Personal\SECM-Project\V0.6\oos2000\Argentina.csv credit_gdp:25 npl:21 gov_exp:15
E:\AI-Personal\SECM-Project\V0.6\oos2000\Brazil.csv credit_gdp:26 npl:21 gov_exp:14
E:\AI-Personal\SECM-Project\V0.6\oos2000\Cyprus.csv credit_gdp:24 npl:18 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Egypt.csv credit_gdp:26 npl:0 gov_exp:14
E:\AI-Personal\SECM-Project\V0.6\oos2000\France.csv credit_gdp:24 npl:17 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Germany.csv credit_gdp:23 npl:4 gov_exp:23
E:\AI-Personal\SECM-Project\V0.6\oos2000\Ghana.csv credit_gdp:25 npl:18 gov_exp:22
E:\AI-Personal\SECM-Project\V0.6\oos2000\Greece.csv credit_gdp:24 npl:18 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Iceland.csv credit_gdp:26 npl:11 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Ireland.csv credit_gdp:24 npl:20 gov_exp:23
E:\AI-Personal\SECM-Project\V0.6\oos2000\Italy.csv credit_gdp:24 npl:21 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Japan.csv credit_gdp:26 npl:13 gov_exp:23
E:\AI-Personal\SECM-Project\V0.6\oos2000\Lebanon.csv credit_gdp:18 npl:9 gov_exp:22
E:\AI-Personal\SECM-Project\V0.6\oos2000\Mexico.csv credit_gdp:26 npl:21 gov_exp:16
E:\AI-Personal\SECM-Project\V0.6\oos2000\Pakistan.csv credit_gdp:26 npl:13 gov_exp:1
E:\AI-Personal\SECM-Project\V0.6\oos2000\Portugal.csv credit_gdp:24 npl:19 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Russia.csv credit_gdp:21 npl:16 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Spain.csv credit_gdp:24 npl:14 gov_exp:20
E:\AI-Personal\SECM-Project\V0.6\oos2000\SriLanka.csv credit_gdp:20 npl:15 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Turkey.csv credit_gdp:18 npl:20 gov_exp:16
E:\AI-Personal\SECM-Project\V0.6\oos2000\UK.csv credit_gdp:25 npl:19 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Ukraine.csv credit_gdp:17 npl:21 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\USA.csv credit_gdp:26 npl:17 gov_exp:24
E:\AI-Personal\SECM-Project\V0.6\oos2000\Venezuela.csv credit_gdp:14 npl:0 gov_exp:0
