Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health
2000,174018282,655448231983.527,3179.0,,1.73072614713627,10.889,34.5034586965952,,,
2001,176301203,559983634798.981,3439.0,,1.95188244532532,10.649,33.2576879799093,,,
2002,178503484,509795273806.715,3481.0,,1.89577119915617,10.641,24.8651834399039,,,
2003,180622688,558233745651.874,3866.0,,1.50347763554507,11.168,42.0182480595282,,,
2004,182675143,669289424806.307,4044.0,,1.46126840890621,10.072,49.357806616413,,,
2005,184688101,891633839894.183,4054.0,,1.52401346273319,10.551,53.2333855853127,,,
2006,186653106,1107626541434.92,3956.0,,1.48108495636286,9.692,64.1233686112181,,,
2007,188552320,1397114486368.67,4194.0,,1.46629209992902,9.28,98.0385847662427,,,
2008,190367302,1695855083497.52,4280.0,,1.44192408837717,8.268,34.9066117594868,,,
2009,192079951,1666996438581.43,4271.0,,1.53862567601211,9.419,80.2189884183531,,,
2010,193701929,2208837745100.55,4228.0,,1.53940698128362,8.42,69.971896461306,,,
2011,195284734,2616156223917.69,4695.0,,1.41185115924524,7.578,46.9748793579181,,,
2012,196876111,2465227802806.76,4798.0,43.8344116210938,1.37865646470437,7.251,49.7904095760441,,,
2013,198478299,2472819535557.21,4959.0,44.9966697692871,1.32944608382557,7.071,41.2668743240925,,,
2014,200085127,2456043727198.85,4659.0,47.8131904602051,1.330244423168,6.755,34.3599012775913,,,
2015,201675532,1802212206814.5,4641.0,49.0805015563965,1.36551715396161,8.538,27.21844342998,,,
2016,203218114,1795693482853.01,5200.0,48.9665794372559,1.34797541299482,11.58,42.2432294418921,,,
2017,204703445,2063514977365.65,5480.0,50.7326316833496,1.41402166797586,12.792,46.2664487765831,,,
2018,206107261,1916933898010.99,4980.0,52.05712890625,1.46967772350671,12.329,47.8276476278758,,,
2019,207455459,1873288205059.69,5464.0,53.6215400695801,1.38279724638797,11.936,63.3838235244836,,,
2020,208660842,1476107231310.49,5280.0,55.529109954834,1.32666026860555,13.697,66.9581653036492,,,
2021,209550294,1670647398904.9,4666.0,57.6311988830566,1.14903763026142,13.158,48.8359602711381,,,
2022,210306415,1951923942083.32,,61.0000915527344,1.05240083845945,9.231,40.699224128175,,,
2023,211140729,2191131765684.63,,,1.00237538990131,7.947,45.2367979654704,,,
2024,211998573,2185821610689.31,,69.7317733764648,0.972774559040702,6.801,30.1448145071733,,,
2025,212812405,2279920092492.13,,,,5.97,38.2222400192741,,,
