Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health
2000,,,,,,4.766,,2264.91863707719,0.84417883295442,5.30800056
2001,,,,,,4.043,,2202.31996036706,0.726045427625199,5.33940458
2002,,,,,,3.336,,2193.91481710233,0.203782197587219,5.61565971
2003,,,12.0,,,4.153,,2345.28181012039,,5.63568783
2004,,,9.0,,,4.77,,2162.85328059404,1.57190147518041,5.40558147
2005,,,20.0,,,5.481,,2161.54002386306,1.93021966382329,5.43580961
2006,,,,,,4.593,,2209.33213219678,1.42258572975803,5.46357489
2007,,,3.0,,,3.946,,2293.75458684904,1.21187996608601,5.35744858
2008,,,11.0,,,3.756,,2399.21662682596,0.824911218930063,6.01430845
2009,,,6.0,,,5.594,,2311.55219411824,1.71268223164298,6.46531534
2010,,,4.0,,,6.359,,2192.46748939146,0.709335250902962,6.50055742
2011,,,,,,7.942,,2093.44029665285,0.785002954663899,6.43139076
2012,,,4.0,,,12.097,,1936.16516091053,1.88776871744135,6.53638792
2013,,,2.0,,,16.131,,1646.32678982431,1.01360340232875,6.92774534
2014,,,4.0,,,16.277,,1659.57813297538,0.915293345276525,6.93137264
2015,,,6.0,,,15.026,,1677.40248205105,1.2300107871946,6.79382181
2016,,,3.0,,,13.006,,1761.87442919766,1.05083409956653,6.65254688
2017,,,8.0,,,11.155,,1794.01732213218,0.558091105183829,6.62192535
2018,,,4.0,,,8.504,,1773.61456364017,1.18041688389616,6.78446245
2019,,,4.0,,,7.155,,1758.05457120745,1.16579872951254,6.99843168
2020,,,2.0,,,7.755,,1638.57191138119,1.15185477415008,8.64796448
2021,,,1.0,,,7.513,,1666.21660995085,1.21459779542909,8.87445068
2022,,,,,,6.806,,1682.70492545045,0.600884802872229,8.27201366
2023,,,,,,5.835,,1672.78575414138,0.81785876397005,8.11912918
2024,,,,,,4.9,,,,
2025,,,,,,4.924,,,,
