Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp
2000,73083284,99838543960.0763,534.0,,2.55126513982739,8.98,,569.881356092312,,4.92244291,71.687
2001,74652029,96684636118.5984,464.0,27.8922500610352,2.98556856033807,9.26,,634.095104088458,,5.40030336,79.146
2002,76239137,85146067415.7303,627.0,28.9182395935059,3.27845479650374,10.01,,636.526193894253,,5.5107379,85.776
2003,77853548,80288461538.4615,493.0,26.0245094299316,3.17728527009726,10.91,,647.53985335306,0.604982061960747,5.2242527,97.095
2004,79477443,78782467532.4675,382.0,27.2862091064453,2.87753123653597,10.32,,692.141360028845,0.405146398550175,4.85732365,96.512
2005,81101004,89660339660.3397,428.0,28.4127006530762,2.71422040657605,11.049,,778.769640304157,0.643641850868097,4.92229176,98.263
2006,82700403,107426086956.522,,28.3695907592773,2.60621860261331,10.49,87.033236198802,806.402489163819,0.663841988774831,4.84190083,85.924
2007,84276225,130437828371.278,516.0,28.8399200439453,2.37963467509709,8.8,106.774079068206,844.384421346476,0.806870502327317,4.44493246,76.268
2008,85864789,162818181818.182,481.0,28.6861095428467,2.18078548537016,8.517,52.8061848129537,859.150259001023,1.12618921636092,4.46634817,66.761
2009,87501636,189147005444.646,490.0,29.2693099975586,2.03264504307225,9.087,48.2203457493763,862.435116243687,1.04226623284087,4.37870932,69.45
2010,89196072,218983666061.706,605.0,30.0727383660214,1.95296705174529,8.757,38.4854411818333,838.166707475228,2.06174997223112,4.15319157,69.59
2011,91093059,235989672977.625,618.0,25.5901820932158,1.83702551137618,11.849,20.6999185106848,860.053119855617,2.96729523596304,4.35707569,72.83
2012,93161001,279116666666.667,683.0,26.2271566255146,1.64817579267929,12.597,21.2033092494178,866.240866672303,2.36901703981789,4.45891809,69.862
2013,95333553,288434108527.132,641.0,28.3479816954113,1.61005697699419,13.154,21.3669771285745,825.189960336054,,4.6710043,79.812
2014,97528654,305595408895.265,752.0,29.1134325604942,1.68969483568075,13.105,22.9334760798122,832.772090858109,2.96323170829365,4.77415323,80.874
2015,99597342,329366576819.407,718.0,32.8848991394043,1.72314742829085,13.052,16.7569735013708,810.817127279737,1.71791733156895,5.06153202,83.754
2016,101644589,332441717791.411,920.0,31.8731307983398,1.66660515243227,12.45,10.0237151349692,872.581407763809,1.50721254822527,5.07462406,91.586
2017,103696057,248362771739.13,1025.0,33.1018892935221,1.42203170028818,11.767,18.7411743209606,897.218073562482,1.31152527182627,5.34661913,97.8
2018,105682094,262588632526.73,997.0,36.1230010986328,1.24996619642133,9.855,15.9967130320175,870.813573488394,,4.74892998,87.949
2019,107553158,318678815489.749,1027.0,33.622825887244,1.18097179684711,7.851,13.8697170478913,844.783013447093,,4.5994668,80.092
2020,109315124,383817841547.099,978.0,38.773998260498,1.12247550332399,7.974,10.7736471638007,805.259456646637,,4.15384626,86.222
2021,110957008,424671765455.704,881.0,35.1185317783157,1.12200927143154,7.441,11.4750859284717,857.821938469275,,4.60955143,89.903
2022,112618250,476747720364.742,,36.462230682373,1.01475596559521,6.546,8.14958485176921,902.48842991302,,4.72362804,88.534
2023,114535772,395926071447.591,,37.9005584716797,0.808918707093165,6.753,14.0345670586523,928.39494742708,,4.88449335,95.93
2024,116538258,389059910593.1,,37.5781274463676,0.665263620234986,6.817,10.9482675650302,,,,90.857
2025,118365995,365254630179.737,,38.0398346509947,,6.781,17.2146537797642,,,,84.542
