Year,Population,GDP,Patent,EduRate,Gini,Military,Arable,unemployment,mcap_gdp,credit_gdp,npl,gov_exp
2000,60918661,1360959069477.49,13870.0,,32.6,2.09218901026309,18354400.0,10.218,106.29519670679,,,44.7395900950739
2001,61364377,1370376677298.86,13499.0,50.4472885131836,32.5,2.04148415280944,18345900.0,8.61,85.7182568456558,77.3883861486517,,45.1259611564405
2002,61812142,1492427756382.43,13519.0,50.2516899108887,31.8,2.05857264018165,18371500.0,8.702,64.7947651646464,76.5284393068992,,46.1481322288413
2003,62249855,1835095983049.09,13511.0,52.3169784545898,31.4,2.1064709567846,18354800.0,8.306,73.8885242256958,75.9612449584322,,46.378152228103
2004,62707588,2109792297237.03,14230.0,53.4576301574707,30.6,2.11416633859403,18368000.0,8.914,73.8987284218355,76.9744161883116,,45.7123683832106
2005,63180854,2192146403028.17,14327.0,53.8823318481445,29.8,2.02813701732744,18377600.0,8.882,80.2187850031749,80.324329471898,,45.7486480076561
2006,63622342,2317861544690.82,14529.0,53.8754196166992,29.7,1.97737744775679,18339000.0,8.832,104.762589273809,84.3572835148986,,45.247946285329
2007,64016890,2655816911866.56,14722.0,52.9475402832031,32.4,1.91095777789429,18286200.0,8.008,103.182610132339,88.974306564356,,44.9111535137718
2008,64375116,2926802941585.86,14658.0,52.4755210876465,33.0,1.89934504679172,18268700.0,7.386,50.3076872405421,92.6357426084034,3.24235571721792,45.2341073217247
2009,64706436,2700075882518.98,14100.0,52.7731018066406,32.7,2.09877791453034,18256200.0,9.122,72.0789053596651,95.0966407247871,4.58399416878333,48.4059324731452
2010,65026211,2646230027988.34,14748.0,54.881721496582,33.7,1.96864375039496,18300700.0,9.279,72.2354205712469,95.8471452301569,4.3272048253125,49.6925291037396
2011,65340830,2870408553990.28,14655.0,55.6257286071777,33.3,1.88794614981494,18274400.0,9.228,54.1371348632507,96.6491919516285,4.89276263549823,47.927974289251
2012,65657659,2683007095787.23,14540.0,57.9090118408203,33.1,1.87154409463222,18281700.0,9.841,67.3941083808224,96.5785492959372,4.29452327369678,48.5371716441042
2013,65997932,2816077607875.26,14690.0,59.8487586975098,32.5,1.84711648361859,18305700.0,9.913,81.7124216877025,95.8769626871841,4.49543407979547,49.0717319139337
2014,66312067,2861236112552.42,14500.0,61.5104789733887,32.3,1.85952906556899,18333100.0,10.273,72.901910850665,93.9159081503646,3.72567893768622,49.1207847434763
2015,66548272,2442483452642.5,14306.0,62.7859306335449,32.7,1.86973268204402,18478700.0,10.354,85.4997526284434,94.9454202268228,3.52308121172511,48.4491880082217
2016,66724104,2470407619777.13,14206.0,64.7276763916016,31.9,1.85171809616119,18355916.0,10.057,87.3963704443473,97.4904687619857,3.49852745916487,48.1500427991658
2017,66918020,2588868323334.71,14415.0,65.8022308349609,31.6,1.8523088187904,18464367.0,9.409,106.197544283094,101.617830234188,2.85084082112562,48.466341621356
2018,67158348,2781576320884.39,14303.0,67.5435180664062,32.4,1.84604257144589,18126400.0,9.018,85.0578939321398,104.624051971951,2.74917800998469,47.1000773214216
2019,67382061,2722793515171.76,14103.0,67.7331314086914,31.2,1.85288520696513,17942785.5,8.415,,106.913030586051,2.51442386618475,45.8897902925031
2020,67601110,2647926055110.05,12771.0,68.8709411621094,30.7,2.02167455284232,16984666.0,8.009,,125.397439701102,2.38440087259745,51.9636314257982
2021,67842811,2966433692008.09,13386.0,69.9397888183594,31.5,1.98022225807935,17010435.0,7.871,,120.721909947613,2.16920501014489,49.9944440065304
2022,68184457,2794788137066.94,,71.5107269287109,31.2,1.95772067476703,16990355.0,7.303,,119.290366998126,2.07810544079029,48.8603228368138
2023,68372286,3056250648138.29,,70.4536437988281,31.8,1.95099683800051,16899246.0,7.335,,112.567354839828,2.06122418440948,47.2580360132692
2024,68551653,3160442622465.08,,71.5346908569336,,2.05257687860637,,7.4,,107.58266062477,2.08727388951242,
2025,68720337,3366315927447.33,,,,,,7.542,,,,
