Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health
2000,19637087,4982850662.20851,,,0.4436304,10.456,10.0344167203757,,,
2001,20167069,5314872854.4405,,,0.264452812963597,9.615,5.26823515196726,,,
2002,20729388,6166197847.85031,,,0.260305614783227,8.711,5.67610719986902,,,
2003,21296705,7632723555.66221,,,0.30375830974791,7.728,8.3849492953957,,,
2004,21868298,8881417906.71432,,,0.277570912276859,6.758,5.40454243952558,,,
2005,22449438,10744568381.4456,,5.35099983215332,0.260967076343411,5.816,5.6772871496019,,,
2006,23040702,20885037596.6963,,4.7728099822998,0.262213532811969,4.897,3.63896879036607,,,
2007,23642279,24827339138.4906,,5.92381000518799,0.370332914572864,5.104,9.67195874920483,,,
2008,24249946,28679383241.0729,,7.91365003585815,0.294033500427925,5.144,9.91785623871593,,,
2009,24862664,26048720005.5233,,8.29780006408691,0.336757870912986,5.362,9.3172332440342,,,
2010,25474995,32197655566.5347,,,0.282687655236928,5.384,9.15498333072344,,,
2011,26095088,39336668080.559,,11.2824466895305,0.43515452267479,4.213,7.87689997956728,,,
2012,26734268,41271701060.954,,11.4938894891938,0.593208552483374,3.126,,,,
2013,27386193,62845721959.827,,13.4205396326832,0.400294579040699,2.173,,,,
2014,28041592,54678533805.9064,,15.0809451652103,0.484989051455069,4.403,,,,
2015,28696068,49436806230.4839,,15.5618871637579,0.392915126090548,6.806,,,,
2016,29356742,56144179397.8516,14.0,15.606270735823,0.291412454265461,5.256,,,,
2017,30008354,60385409434.8567,15.0,16.2065694246062,0.312701278609545,3.369,,,,
2018,30637585,67259353965.6087,13.0,15.9045597520982,0.32587623925291,3.204,,,,
2019,31258945,68352629246.1555,,17.3607250095097,0.343818178617089,3.067,14.5764400139156,,,
2020,31887809,70008243859.8666,12.0,18.6139938594155,0.350949233772808,3.178,13.2090586624488,,,
2021,32518665,79514204730.3979,,19.2005186528071,0.382741906430833,3.2,13.1888635943193,,,
2022,33149152,73919003212.1998,,20.44559258931,0.337946355940024,2.87,8.74424670127752,,,
2023,33787914,80547146875.9526,,22.0958254757285,0.398080247565807,2.829,7.70916195152513,,,
2024,34427414,83288585604.0268,,21.330810546875,0.383994182354107,2.82,9.09517185946037,,,
2025,35064272,114209905278.717,,,,2.979,14.3985059438311,,,
