Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini
2000,10805808.0,125760166224.805,306.0,52.6726303100586,3.59479870587568,11.345,,,,44.4473263233025,34.4
2001,10862132.0,132050474720.03,385.0,59.9249114990234,3.35627566229104,10.764,64.1815413232622,51.6965910004471,,43.8026037175959,
2002,10902022.0,150253800085.865,376.0,66.8908386230469,3.16565671755075,10.346,44.632122423311,54.8718327415203,,43.2026585802198,35.5
2003,10928070.0,196930509813.384,393.0,72.9116668701172,2.56278132746133,9.839,54.1529446610675,58.7319609377145,,43.1830691765025,32.8
2004,10955141.0,234979615898.225,379.0,80.4148406982422,2.67202808458836,10.628,53.2989338335821,63.8775428098327,,44.5593874599535,33.6
2005,10987314.0,242315668619.405,462.0,90.3474731445312,2.90167987543818,10.074,59.8891276106189,73.6573957197981,,43.928487332671,34.6
2006,11020362.0,269073415333.676,532.0,95.0775375366211,2.82969288184235,8.906,74.5878368366931,77.5454374177186,,43.1248180840893,35.1
2007,11048473.0,314226996944.108,575.0,90.5404281616211,2.71917513817491,8.351,84.3214690579654,85.7984237428537,,44.7050606293494,34.0
2008,11077841.0,351121399546.485,628.0,,3.02372412926418,7.664,25.689120662114,90.5073136555285,2.47019680774368,47.8546535471323,33.6
2009,11107017.0,326829054686.306,698.0,,3.26904009456305,9.546,34.4621747623098,89.22442515662,3.77370944783239,51.9680969068081,33.6
2010,11121341.0,296417644404.034,728.0,101.694053649902,2.75678087939637,12.719,22.8010785713808,112.814277336853,5.62295516381546,51.078647377558,34.1
2011,11104899.0,283228079776.041,722.0,105.812690734863,2.52021146748907,17.973,11.9263916299225,119.201382534538,9.19946087632774,54.7841287756502,34.8
2012,11045011.0,238841140018.233,628.0,110.122978210449,2.47639628901893,24.731,18.7892881421409,120.147931380692,15.7182240298713,57.3762666302254,36.3
2013,10965211.0,236556279640.705,698.0,112.705833435059,2.39130807647224,27.686,34.9152599649642,119.790203680738,27.8147390613921,61.3545612333663,36.1
2014,10892413.0,233911581521.062,651.0,119.104209899902,2.36784026258467,26.708,23.5791103806605,117.895057189809,29.9945374662288,49.7478747922233,35.8
2015,10820883.0,194567373678.099,550.0,,2.47743424261411,24.981,21.6272539452675,113.433357315224,35.7068688820244,52.2111640982534,36.0
2016,10775971.0,193097239005.87,606.0,131.403213500977,2.57279833754101,23.514,19.2457692157776,108.627097496027,37.3561319650911,48.8551944521521,35.0
2017,10754679.0,200381103984.298,498.0,135.333923339844,2.556623889921,21.413,25.2544072239294,100.647509860794,45.966797966588,47.670388743995,34.4
2018,10732882.0,213298873494.394,430.0,140.950317382812,2.70054108209766,19.179,17.9892417486249,91.2069328032117,43.3731858901073,48.0218614049715,32.9
2019,10721582.0,207305649887.019,356.0,143.96272277832,2.59648367110305,17.045,25.8815811480494,80.2122396702063,38.0724169271523,46.9259260449285,33.1
2020,10698599.0,191362985554.861,400.0,143.693344116211,3.02310765728834,15.899,26.6440711364125,81.2709751259998,30.8146791725641,58.0698817576878,33.6
2021,10570130.0,218303801895.326,394.0,150.605484008789,3.80247367841764,14.656,27.1375988350427,56.1973361608804,11.881332954805,54.8325762184431,32.9
2022,10437805.0,217990189600.69,,166.389556884766,4.00035246143373,12.426,27.0816223923378,52.4567421241532,8.17432019475188,50.8012558431009,33.4
2023,10407351.0,242946187738.269,,165.113418579102,2.88325472633445,11.023,33.4712023090498,49.2157408211615,5.95812847046635,47.3019610078935,33.4
2024,10405134.0,256238371778.118,,,3.12797536550149,10.02,32.469395361302,48.5410004453358,3.46297888111995,,
2025,10413962.0,280635521324.441,,,,8.54,45.9587116382502,,2.95095543348819,,
