Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini,fdi_gdp,portfolio,reserves
2000,281205,9140168922.35677,51.0,45.9174499511719,,1.936,,11404.9435876155,1.77758816837315,8.89924335,75.796,92.35794974827,,28.9769232927383,,1.69756965570434,-17713015.2132896,405074266.016599
2001,284968,8323401820.48477,49.0,46.9373588562012,,1.874,,10925.4513900466,0.350812569614369,8.75266171,83.383,94.0889120657084,,29.2579365214771,,1.9636895563517,95964516.5506651,355376118.48792
2002,287523,9416199699.54736,71.0,52.6091117858887,,2.988,,11168.371424924,1.39078673328535,9.40382481,82.16,99.5112168130595,,30.1264995681776,,0.976035937953064,54481446.850746,461532295.232005
2003,289521,11564687741.9859,57.0,60.0269813537598,,3.997,,11092.6178434139,,9.72930241,85.068,123.680399918824,,31.5661510338861,26.8,2.8998206651811,-45947372.4693213,818644873.119899
2004,292074,13963943244.0018,66.0,66.5821762084961,,4.031,,10892.7840096937,,9.32854366,80.861,156.23107602552,,30.2090274481751,28.0,5.40905235148605,300927971.174035,1074203553.34615
2005,296734,17146410560.5279,47.0,69.8324279785156,,2.547,,10877.230192953,1.01066419166236,8.94694996,68.931,235.46190863153,,32.7383527504344,29.0,18.042727115684,82707411.4574384,1068602214.11431
2006,303782,17671649843.2602,45.0,72.9682083129883,,2.83,,13184.4771597611,0.0,8.55709076,70.651,301.018943583666,,32.2603311078751,30.2,21.9365764797895,1164763680.34671,2342225223.0951
2007,311566,21960110030.4426,61.0,73.1370162963867,,2.251,,15188.3777309195,0.641744518298543,8.3535862,68.404,243.15494776409,,31.9162816537482,29.5,31.2938758397836,211223279.429703,2631913597.34891
2008,317414,18247921360.2599,50.0,73.5754699707031,,2.946,,17341.072624835,,8.34370804,110.357,190.991584963168,,50.3326896704183,31.8,6.59629631732958,-1989193408.71764,3570697294.05494
2009,318499,13212543837.5133,64.0,72.4675521850586,,7.22,,17936.5957485126,0.31386137370846,8.77518463,128.773,171.82627024193,,41.4719604937765,28.7,0.48127099169328,-76789834.430455,3882623015.92261
2010,318041,13922711576.5124,57.0,78.5030899047852,,7.564,,17024.5130942471,0.628618485155174,8.36173058,133.141,157.617941924993,,37.4943984640022,26.2,1.84577695426496,17715659.4538117,5788562800.11708
2011,319014,15394005872.149,50.0,79.9194183349609,,7.028,,18161.5241113303,0.940035157314884,8.25498867,138.176,134.860191549767,,38.023843042671,26.8,7.19083904863249,3101714.43789116,8548042323.47084
2012,320716,14943757823.3226,37.0,79.5824813842773,,6.0,,17633.6482755645,0.311681349455571,8.23091221,133.925,116.320244870751,,36.5921821704099,26.8,6.85345908435807,-15491555.9969564,4191506843.5824
2013,323764,16244319958.6808,33.0,78.3723907470703,,5.376,,18212.7336453087,0.308751086417885,8.22651291,121.96,106.388456955791,,34.4053448051065,25.4,2.90937107233191,-18828180.787225,4237652258.59372
2014,327386,18052183514.8695,51.0,80.3950881958008,,4.897,,17947.0382271585,0.305331857562688,8.29044247,115.299,93.2716453077666,,33.9832942932349,27.8,4.24755010057716,-89604348.0660901,4177067541.46937
2015,330815,17700486957.1907,40.0,75.6419982910156,,3.979,,16910.7212326475,0.906477233068894,8.13121986,97.323,86.3304492544149,5.85225689416537,31.8771254937801,26.8,6.47308431453939,-53292379.3410695,5040573412.30604
2016,335439,21083713310.457,35.0,74.7006301879883,,2.978,,15701.4730096728,0.297997309084299,8.15569115,82.471,83.0289019358564,4.12279811915939,34.9997018089201,27.2,-5.05739639771987,12732204.9173835,7225621330.32653
2017,343400,25060086487.8901,36.0,71.3372497558594,,2.742,,16234.9829641811,0.873282362752761,8.3243084,71.742,85.6751270718392,2.8640995107245,31.0338460553056,26.1,-27.9324374411863,398646114.208543,6566175919.51031
2018,352721,26677652544.3499,56.0,69.3402328491211,,2.704,,17346.7502731224,0.850210001870462,8.43817616,63.247,89.4921756721559,2.51329639871644,30.3825247863504,26.6,-2.33423231382448,173776743.538203,6321213331.79507
2019,360563,24985687022.0452,47.0,70.6093521118164,,3.507,,16700.5920009676,0.277239086829896,8.63996315,66.528,87.7115547810861,2.92802451232259,30.6922340261305,26.8,-2.22712995709055,670336148.107924,6782387111.82889
2020,366463,22034665040.7901,44.0,74.5906066894531,,5.478,,16083.6099695089,1.36383225954273,9.64908886,77.512,98.409254247691,2.90217036371758,36.3538902057074,,-3.98671122506617,-29210531.742131,6419314385.06349
2021,372520,26234872402.457,34.0,86.5232086181641,,6.029,,15779.653070706,0.536705993798362,9.72073746,74.756,99.5228207903758,2.06156567231269,34.66733081482,,1.52832650765088,-80576992.2366112,7078849095.85852
2022,382003,29176227825.4736,,84.985237121582,,3.789,,15806.7848368996,1.05164773481651,9.08145332,67.361,93.0314826719705,1.39911577474254,32.5551860161591,,4.73857488658574,27238269.6872557,5887412717.94843
2023,385663,31701996433.7807,,76.5200729370117,,3.518,,15685.697957602,1.29013114183057,8.70510101,62.243,88.2870435093308,1.57785500427557,32.0496243351256,,5.96234250051157,-68591989.4437235,5808710368.479
2024,386506,33186621855.0053,,,,3.6,,15996.6796098347,,8.98358727,60.333,91.0796731043812,2.02831641047984,,,8.53649263499069,311309708.446024,6402950468.75603
2025,392404,38582528789.0033,,,,3.625,,,,,55.578,89.24179373685,1.56131397294323,,,-0.52278219243446,67687395.1779502,7732180037.18594
