Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini
2000,3805174.0,100207610429.909,,,0.694961052162033,4.318,81.7128056928102,3627.38542635217,0.973022299304289,5.8990283,36.401,,,27.6892879653051,33.0
2001,3866243.0,109346669229.695,,50.6748008728027,0.702765014395844,3.684,68.8615762422796,3714.01794514649,1.34611068498654,6.39249372,33.557,71.776397881,,28.9800895859939,
2002,3931947.0,128596035288.401,,53.5348014831543,0.63383334613874,4.216,46.6091352393398,3663.16912074715,1.32367963592701,6.67263031,30.874,75.4068879464266,,29.4745512750367,32.3
2003,3996521.0,164670771259.602,,55.8461685180664,0.587456023721602,4.478,51.6608863548026,3515.79431954715,0.926636672021959,7.00761414,29.819,85.7189838708838,,29.7254665223086,32.9
2004,4070262.0,194372115041.065,,58.9219093322754,0.567899833158286,4.491,58.6943399653274,3558.69801147061,0.737814168958707,7.21972942,28.087,104.899559324705,,29.7186782043724,33.6
2005,4159914.0,211876989655.907,,58.8693199157715,0.540612698817302,4.237,53.8454695742462,3513.15701936975,1.25141867559474,7.64242792,26.054,124.640380550943,0.48036674411629,30.4253603783737,33.8
2006,4273591.0,232180617162.279,,58.4411811828613,0.513151243889595,4.355,70.3200344608808,3433.690849782,1.4524064559467,7.51646996,23.645,144.570858494026,0.534720753421794,30.6619440672932,32.7
2007,4398942.0,270079279419.5,,58.3019905090332,0.508754794256741,4.98,53.2825992091305,3407.88558886571,1.77534469569112,7.80773735,23.942,158.099129709618,0.629176742433281,31.9281112527488,31.9
2008,4489544.0,275447471451.063,,54.0174713134766,0.57698781953157,6.774,17.9670954099836,3311.73521178354,1.13687038975372,9.12564754,42.514,166.322639147626,1.92252115115214,37.0695232892569,30.9
2009,4535375.0,236443115853.695,,56.503978729248,0.601169019780089,12.609,25.9221418981492,3173.7335600355,1.1690096855761,10.52275753,61.754,169.252292209815,9.79636660801069,44.0437590877705,32.7
2010,4560155.0,221732824603.484,,63.1264381408691,0.574574154033988,14.534,27.2256983637647,3149.89842034979,1.1844494941962,10.52062798,86.135,133.426753126152,12.4666710113594,62.4105657118434,32.3
2011,4580084.0,240975871046.644,,67.7985916137695,0.539508228229788,15.354,44.9809225833315,2875.40675480961,0.917110164037163,10.4888649,109.428,114.741522540828,16.1214680824703,44.4703295102429,32.9
2012,4599533.0,226921827888.137,,68.1972503662109,0.509289132793347,15.451,48.0293857203226,2858.91735604826,1.10866383834203,10.47466946,118.73,110.636331079402,21.311623175529,39.9842241542073,33.2
2013,4623816.0,242924245718.756,,71.6995468139648,0.49161342312128,13.735,70.0311652699165,2802.60964399377,1.01628510386596,10.0333004,117.494,102.404683746299,22.3727039607198,37.6286660203768,33.5
2014,4657740.0,266490442124.309,,73.813232421875,0.447668415911946,11.858,53.8352628545972,2726.60528005402,1.00896508411924,9.23077869,101.276,78.3674079003117,20.6488038220399,34.393562008839,31.9
2015,4701957.0,302101388556.271,,77.2321472167969,0.329854616599638,9.908,42.3728108671558,2825.9812059763,0.574164266695474,7.07827806,73.997,51.2657972598874,16.9137587763138,26.5887434481242,31.8
2016,4762722.0,305431252708.748,79.0,77.5571365356445,0.327907586700795,8.374,39.2325885390859,2932.30415263032,0.694224869533058,7.3382206,72.64,47.386841437796,12.6269750146121,25.7394910022787,32.8
2017,4827445.0,348355212568.515,62.0,77.5191116333008,0.296120745416758,6.713,42.0703134939241,2854.85820468032,0.789978006388635,6.91718578,65.234,42.6227340344542,11.4589228987576,23.7481681383937,31.4
2018,4898022.0,395780319816.603,76.0,76.7604675292969,0.280112255033866,5.741,27.8321999565424,2820.44138030583,0.779878238431558,6.74710846,61.472,39.7179106627463,5.4568545690485,23.0544769626137,30.6
2019,4976456.0,407211793800.713,58.0,74.444580078125,0.273293508559262,4.95,,2747.90158131447,0.648627918850972,6.61860561,55.924,36.0552722551197,3.36383712525729,21.9984833264173,30.3
2020,5039747.0,436009027818.948,75.0,74.1961975097656,0.262684777602834,5.623,,2633.97691248454,0.622164323030526,6.97323275,57.007,32.3402464273232,3.36142776920367,25.1258796519129,29.2
2021,5110585.0,530394123829.763,75.0,78.4613265991211,0.238637692712824,6.357,,2689.36333693732,0.437512696568737,6.44113493,52.564,26.4830620089049,2.48214874701819,22.2593666159683,29.4
2022,5212836.0,548341794599.09,,77.5933380126953,0.212502380914468,4.465,,2600.15740643769,0.861054139659655,6.02078247,43.143,25.4419666716094,1.60747302300572,19.2427274217679,29.9
2023,5311538.0,567372737459.116,,,0.230374711003044,4.243,,2467.73733963357,0.654270171245596,6.57538509,43.273,25.2225553670442,1.27071424651771,,29.0
2024,5395790.0,609157459747.205,,,0.239096332495524,4.3,,2467.50339120772,,6.85410833,42.362,23.7845375555383,1.22765500955195,,
2025,5484367.0,721701359046.313,,,,4.632,,,,,40.66,,,,
