Year,Population,GDP,Patent,EduRate,Gini,Military,Arable,unemployment,mcap_gdp
2000,56942108,1149661363439.38,7877.0,,35.2,1.7333974080779,8479000.0,10.834,66.8338846929092
2001,56976981,1172041488805.87,,53.4531898498535,,1.66687444230505,8339000.0,9.599,45.0041474672888
2002,57089824,1281746271196.04,,56.3153915405273,34.7,1.69394254893483,8287000.0,9.211,37.220737888695
2003,57399184,1582930016538.82,,60.0055885314941,34.9,1.69839951235756,7959000.0,8.869,38.8419932388667
2004,57828179,1812808753294.75,,63.3327293395996,34.3,1.67228931403318,7979000.0,7.866,43.5546561966331
2005,58166682,1864982261286.85,,65.3270263671875,33.8,1.59516123663349,7780000.0,7.73,42.792518007615
2006,58399861,1958563654385.64,,67.2835083007812,33.7,1.51434317166841,7376000.0,6.777,52.4110721498092
2007,58756247,2222524108127.65,9255.0,68.8725967407227,32.9,1.44091823807458,7171000.0,6.076,48.2575048827501
2008,59211181,2417508414187.19,8588.0,67.5799865722656,33.8,1.53005124720846,7498000.0,6.723,21.5961105630954
2009,59555454,2209484319012.65,8814.0,66.9516296386719,33.8,1.54748909606347,6981000.0,7.749,29.6833177025251
2010,59819407,2144936254535.0,8877.0,65.3790435791016,34.7,1.49431312454622,7042000.0,8.363,24.9452135870581
2011,60026841,2306974020278.21,8794.0,64.2492523193359,35.1,1.46829220552997,6720000.0,8.359,18.7035669325814
2012,60191247,2097929495121.68,8439.0,62.3447418212891,35.2,1.41946238544527,7118000.0,10.655,22.9668008920411
2013,60311613,2153225581941.46,8307.0,60.8925285339355,34.9,1.39167747666985,6827000.0,12.149,28.5832713098768
2014,60320707,2173255507985.84,8601.0,60.8831481933594,34.7,1.27633070266495,6728000.0,12.683,27.0245462552316
2015,60229605,1845428048839.1,,60.941291809082,35.4,1.20247316488401,6601000.0,11.896,
2016,60115223,1887111188176.93,8848.0,61.3571014404297,35.2,1.32773387933426,6697000.0,11.688,
2017,60002252,1970720904584.71,8643.0,62.69580078125,35.9,1.35122350161336,6736270.0,11.211,
2018,59877221,2099435266458.67,8921.0,64.4753265380859,35.2,1.35443317948295,6723000.0,10.538,
2019,59729081,2019606796583.53,9229.0,65.6895065307617,34.6,1.30611671363832,6914183.0,9.884,
2020,59438851,1907481094079.23,10061.0,68.7231063842773,35.2,1.72984958969454,7199414.0,9.192,
2021,59133173,2179207773596.09,10281.0,71.2745208740234,34.8,1.66286387777873,7192812.0,9.497,
2022,59013667,2104067630319.46,,73.8962097167969,33.7,1.65164252620196,7084477.0,8.069,
2023,58984216,2316882296366.32,,75.9496536254883,34.3,1.60646040928357,7084477.0,7.627,
2024,58952704,2383435562458.12,,,,1.60924561245844,,6.5,
2025,58915656,2551556954100.35,,,,,,6.391,
