Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini
2000,98625552,742061329749.127,431.0,20.5259704589844,0.4085181378342,2.646,16.872436951044,14.3477809518427,,12.0964929315521,53.4
2001,100099099,796064590549.136,534.0,21.3776397705078,0.405679210443065,2.627,15.8603185594407,12.240977233378,,,
2002,101548624,810666116401.915,526.0,22.3153591156006,0.391316389699324,3.003,12.8216966143023,14.1782625366026,,,50.6
2003,102978515,765549967888.647,468.0,23.0477905273438,0.386714351968895,3.455,16.0058735732091,14.6412754593329,,,
2004,104394131,819459227375.022,565.0,23.7031497955322,0.348326583014086,3.937,20.9164756798276,14.1054932641584,,,50.3
2005,105811504,917571853437.344,584.0,24.130989074707,0.340404650226474,3.558,26.0609508785819,15.3135908147147,1.81638248738847,,50.9
2006,107253666,1020265057882.01,574.0,24.5689697265625,0.297483414235144,3.566,34.1426110116069,18.3518916727969,1.9944212361405,,49.7
2007,108774360,1102355554880.44,629.0,25.1474304199219,0.383092431979546,3.628,36.0795242731948,20.4394698066311,2.5413127799359,,
2008,110374288,1161553459984.65,685.0,25.7789402008057,0.37317675556547,3.874,20.1501633857724,19.7553753175775,3.20802543521284,,50.8
2009,111999721,943437414950.633,822.0,26.2105903625488,0.478488795822754,5.356,37.3151874645995,21.6119225665134,3.06903578149086,20.5779680790655,
2010,113623895,1105424238651.95,951.0,27.1670207977295,0.433229899207479,5.303,41.1014345545803,22.3237750273616,2.32838597424659,20.4815497546695,47.7
2011,115243504,1229013703416.76,1065.0,28.0361595153809,0.447386999972132,5.175,33.2534803203422,23.5848328387345,2.44685147061431,20.8740737970003,
2012,116818208,1255110424741.85,1294.0,29.3496494293213,0.455502051174913,4.892,41.8335048175535,24.9270563825252,2.52922017747362,20.9324326030644,49.6
2013,118343573,1327436290439.27,1210.0,30.3301601409912,0.48764287589738,4.921,39.6264320772738,27.8590593255176,3.36157018477857,20.6909750829168,
2014,119784261,1364507717689.36,1246.0,31.2052898406982,0.495321031372806,4.819,35.1955004558889,28.1836821060935,3.13402337702184,20.997176363174,48.9
2015,121072306,1213294467653.78,1364.0,31.9718608856201,0.45074282393045,4.311,33.153804844908,30.8304978690131,2.6044102180781,20.8689511528107,
2016,122251351,1112233497452.7,1310.0,38.589771270752,0.480046272445401,3.853,31.5409987585363,32.9508423866166,2.14676314546594,20.3281994162596,46.9
2017,123400057,1190721475853.16,1334.0,40.3390693664551,0.424849155540147,3.419,35.0225076524466,34.3431256738601,2.14605834181442,19.8664920937012,
2018,124573711,1256300182983.65,1555.0,41.6382789611816,0.464611544931539,3.275,,33.6152178109833,2.1077378613675,19.8697097082398,46.0
2019,125762982,1304106204006.27,1305.0,43.0441398620605,0.509337628297564,3.477,,35.5851864842603,2.20172618969779,19.8103353495765,
2020,126799054,1121064767168.8,1132.0,45.1654510498047,0.717690608258695,4.44,35.6461742178569,36.9325897654775,2.56401799892127,21.6980704265989,44.6
2021,127648148,1316569466833.94,1117.0,45.6506195068359,0.659404192954647,4.019,34.917080456491,35.0570605465604,2.04852607538267,20.8923836603349,
2022,128613117,1466934724243.38,,46.4061317443848,0.685819352028866,3.256,30.9741410091956,34.2487696122269,2.08482456008447,22.3057833172693,43.5
2023,129739759,1794410347718.25,,47.474681854248,0.660371879752505,2.765,32.1368092160905,33.2256099210698,2.07732748969618,22.4594139014718,
2024,130861007,1830489311088.89,,48.203441619873,0.893257529320534,2.678,,35.0748199517549,2.01603884670162,,42.6
2025,131946900,1832641364775.52,,,,2.673,30.5792121017984,35.5021122487568,2.17060951477006,,
