Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp
2000,154879127,99484802344.5277,46.0,,4.16872271381496,0.614,6.65890653032432,411.549930374513,5.75029069524098,2.48079324,61.673
2001,159270907,97145618479.9038,58.0,,3.87893394479455,0.611,5.04747416993835,407.99646563704,6.02307111869464,2.33959723,65.148
2002,163222549,97923302809.3537,55.0,,4.07377016787657,0.615,,404.334238651861,5.79944378334808,2.42219901,60.531
2003,167110248,112371913740.823,57.0,2.37435007095337,4.09142718735613,0.612,,412.836751547714,5.59271505599106,2.10399199,56.326
2004,171286000,132216048339.413,73.0,2.97886991500854,3.95603411669147,0.598,34.4857001647418,431.672759795812,5.61283467417069,2.03666282,50.609
2005,175453212,145208562960.767,143.0,4.32808017730713,3.89701939256291,0.583,31.2084074630255,436.061866708612,5.5752755168276,2.37323904,47.878
2006,179682690,161871385506.36,91.0,4.39564990997315,3.64525520437771,0.582,27.7420742767631,443.903367754097,5.5920801274736,2.73132491,46.189
2007,184493231,184140869997.46,109.0,4.95792007446289,3.51198610011098,0.398,37.8598135226371,457.205362427423,5.72161914634586,2.62370729,43.854
2008,189499113,202203748583.854,170.0,4.87824010848999,3.45937100362745,0.423,11.5497562055904,437.835189001934,6.36361817693574,2.56806731,49.114
2009,194376534,187337783856.466,,5.97273015975952,3.26522399322955,0.535,17.0211151982192,433.272314472197,6.42618722690055,2.49995875,53.361
2010,199239047,196709621849.586,114.0,7.03303843576596,3.04189326480607,0.653,19.3214646251835,429.327792495327,6.62018826058729,2.42967653,55.259
2011,203746065,230586581059.665,92.0,7.31739557390399,2.91924318438144,0.796,14.1239485187444,422.842537376111,6.80258538196207,2.23121333,55.065
2012,207667125,250106966104.704,96.0,8.33303617018241,3.09577353673779,3.667,,419.546153206932,6.66740103101875,2.22185278,57.281
2013,211073978,258657231672.412,151.0,8.71835995772812,3.08802003540329,2.954,,421.580013785875,6.60289823456376,2.4164784,58.258
2014,214264647,271390474857.632,146.0,8.74569228544475,3.09657969704779,1.827,,433.449973838963,6.19607584212452,2.48899078,57.817
2015,217290883,299963590534.773,209.0,8.43556648904153,3.16298664508296,3.566,,437.198223010365,4.36557663665432,2.49493265,57.886
2016,220138869,313630000130.435,204.0,8.31973903550878,3.20377671550622,2.285,,446.915365965869,3.86846723526245,2.57026362,60.809
2017,223273967,339205534861.1,193.0,8.62228080260493,3.36444910317801,3.204,,456.107326373589,3.68829384464626,2.7863009,60.856
2018,226928892,356128166704.921,306.0,8.20683057963381,3.58696176378502,4.083,15.5852626074334,453.603126548778,3.63153404981254,2.82844949,64.82
2019,230800899,320909472770.669,313.0,11.103638528678,3.50584031595126,4.83,15.7558109966212,431.604754942186,3.47225684652177,2.84736943,77.505
2020,235001746,300425609817.981,338.0,11.7245978752314,3.48667909020303,5.994,16.735760320321,454.338436216576,3.55316509010108,2.95273018,79.559
2021,239477801,348516647445.148,426.0,12.3810012807012,3.38923879613996,6.338,12.3657220726544,465.115862856144,3.78657227562101,2.99015832,73.508
2022,243700667,374890295666.694,,10.5057175294292,3.17683202352522,5.291,7.65928068341595,418.447652844549,4.07754321000689,2.90354776,76.159
2023,247504495,336686348609.266,,10.4770304814137,2.88079974069692,5.237,9.5803617025868,414.952130205765,4.33487075793336,2.51988316,77.291
2024,251269164,371747087751.306,,10.8564126844434,2.66760037007452,5.492,14.0078084578934,,,,69.248
2025,255219554,407307214476.222,,,,5.42,17.2571581110807,,,,71.444
