Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp
2000,10289898,118605192877.388,81.0,,,4.717,51.1619167153418,2390.18870122638,1.12805303055093,8.60104179,54.193
2001,10362722,121604107164.997,107.0,,,4.801,38.1054645935004,2391.32113737669,1.01406904912049,8.62751579,57.38
2002,10419631,134795565549.419,130.0,,,5.779,31.7854299029532,2477.60275830907,1.14279743752163,8.78642941,60.044
2003,10458821,165226175536.793,125.0,,,7.038,35.2757302592295,2400.86139844201,,9.12415695,63.897
2004,10483861,189382122532.169,123.0,,,7.392,37.0892347497419,2463.10248808928,,9.5325079,67.099
2005,10503330,197253876704.921,158.0,,,8.343,33.9528941680511,2519.13901861547,1.28534783916604,9.65306759,72.249
2006,10522288,208756449275.848,184.0,,,8.408,49.9085515017207,2390.46374599498,,9.35422611,73.679
2007,10542964,240496147317.381,250.0,,,8.722,54.9857207589633,2402.51066519403,,9.25186634,72.728
2008,10558177,263416394624.084,381.0,,,8.315,26.147203213487,2337.4925314705,,9.58307838,75.643
2009,10568247,244667762835.543,571.0,,,10.177,40.1553514289654,2304.1784841547,,10.13070393,87.799
2010,10573100,238443864993.217,499.0,,,11.506,34.388261573571,2222.62833547109,1.1721711445495,10.01858425,100.214
2011,10557560,245426767676.002,571.0,,,13.585,25.1357627304285,2164.03219875257,1.07984686066494,9.71847439,114.403
2012,10514844,216536676771.973,621.0,,,16.636,30.2577101379439,2039.16999711033,1.16045143463187,9.64000225,129.035
2013,10457295,226677408291.745,647.0,,,17.216,34.929771165415,2055.58816601984,1.37689714793445,9.39476109,131.43
2014,10401062,230078616299.675,722.0,,,14.546,25.1106299790806,2035.41142547114,0.884088459392736,9.33570766,132.941
2015,10358076,199038523119.639,925.0,61.7960205078125,,12.862,30.0631199740327,2121.0872664787,0.96429532624377,9.33309937,131.179
2016,10325452,206305431241.638,724.0,63.2387504577637,,11.268,27.7526498262106,2111.0971132123,0.637904765071273,9.39989281,131.506
2017,10300300,220862990767.229,644.0,64.2040176391602,,9.217,34.224669578664,2209.9813508898,0.735661094098411,9.32668972,126.143
2018,10283822,242092894542.888,661.0,65.1127395629883,,7.183,25.5825785281109,2140.97558921814,0.784476811591817,9.42121029,121.481
2019,10286263,240115970063.019,703.0,66.0920562744141,,6.65,,2115.18570481977,0.705776821960449,9.50868607,116.608
2020,10297081,229618773422.577,695.0,68.1568908691406,,7.117,,1957.30550192994,0.78106023430457,10.52074051,134.897
2021,10361831,256055879091.139,711.0,72.5122375488281,,6.725,,1943.29269675495,0.789147831496343,11.22031498,124.548
2022,10434332,256898677175.024,,75.0714797973633,,6.175,,1949.86496103932,0.719971949892832,10.5492239,112.415
2023,10578174,292323800948.839,,77.6778182983398,,6.567,,1853.15672016889,,10.02761173,99.081
2024,10694681,313656884870.859,,,,6.462,,1815.40132453961,,10.24061108,94.394
2025,10804871,346639825141.821,,,,6.416,,,,,89.838
