Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini
2000,146596869,259710142196.943,23377.0,55.2136611938477,3.30702983667541,10.581,,,,21.1628915021522,37.1
2001,145976482,306602070620.5,24777.0,60.3866996765137,3.54631922908818,8.978,,16.8377718530329,,22.7585313017298,36.9
2002,145306497,345470494417.863,23712.0,65.0104217529297,3.75627739108018,7.875,,17.9723927796501,,22.5352476801625,37.3
2003,144648618,430347420184.885,24969.0,69.0352096557617,3.67083808960104,8.21,,21.2435670578541,,23.0463063924745,40.0
2004,144067316,591016690732.385,22985.0,69.818717956543,3.30035364660483,7.763,,24.3164009497689,,21.5738426688429,40.3
2005,143518814,764015973481.11,23644.0,72.2228012084961,3.33123723441659,7.124,,25.9225395243251,,19.9480998634358,41.3
2006,143049637,989932071352.543,27884.0,73.4398880004883,3.24635723405838,7.055,,30.9419240283111,,19.5005414079754,41.0
2007,142805114,1299703478481.65,27505.0,76.1305465698242,3.1185420747754,6.002,,37.783577717454,,23.0065326910769,42.3
2008,142742366,1660848058303.11,27712.0,77.5339736938477,3.14948602002222,6.205,,41.5540438231948,3.81172366116837,21.5321667594705,41.6
2009,142785348,1222645900055.7,25598.0,77.8685607910156,3.92406340302834,8.301,62.3022520228711,45.260909297208,9.58055783170298,32.1089747154083,39.8
2010,142849468,1524916715223.95,28722.0,,3.58508572012112,7.407,62.3834443220917,42.8400452491127,8.30661167313489,27.37723900216,39.5
2011,143018195,2045922753398.04,26495.0,80.1629736412764,3.43304383760131,6.571,38.2983555316841,41.6986059819676,6.62814262110441,23.3499683933859,39.7
2012,143378447,2208293553878.42,28701.0,80.5323453975492,3.68924043459907,5.484,37.3745813164403,43.9139602428073,6.05937220678027,24.1958551261758,40.7
2013,143805638,2292470078346.22,28765.0,82.8009567260742,3.85404258314373,5.513,33.6168671198513,48.0247500537777,6.01730651081845,24.606189979681,40.9
2014,144237223,2059241589895.01,24072.0,84.5181387513356,4.11299297822323,5.212,18.7412046208563,54.8322798937112,6.81325840246744,26.4617539784902,36.9
2015,144640716,1363482182197.71,29269.0,84.2355651240256,4.87151474680202,5.615,28.8406966467407,55.9520226893608,8.37596711898549,30.6476505158828,36.5
2016,145015460,1276786350881.14,26795.0,83.860044350614,5.42514770504505,5.591,48.7200957478332,53.1024738337766,9.24076995498894,31.0284467524216,36.7
2017,145293260,1574199360089.0,22777.0,81.7051021681418,4.24899605173948,5.238,39.602665063004,52.0765975053134,9.65589344602211,30.7103051722937,35.5
2018,145398106,1657328773461.31,24926.0,81.5681115998523,3.71982243956434,4.871,34.7617412564913,51.2433106717876,9.74675740899047,28.9441478427563,35.3
2019,145453291,1693115002708.32,23337.0,80.9520697471091,3.86033750437073,4.513,46.749301656053,52.5614289246344,8.82848632528604,29.6140297769421,35.7
2020,145245148,1493075894362.14,23759.0,57.2232854739754,4.14471713241985,5.62,46.530736489909,59.5836264990744,8.16184118410632,35.2998185923772,33.7
2021,144746762,1829186719575.1,19569.0,54.9542479280814,3.57591678846302,4.749,46.0231916726114,54.6422447762479,6.10135444843519,30.78279492703,35.1
2022,144236933,2292495097681.47,,53.9151941239211,4.60728884010235,3.867,23.1234662414818,,5.50983446091328,31.3859500271519,33.9
2023,143826130,2046284838151.09,,93.7277679443359,5.40231844120686,3.076,31.7887215832447,,4.50692606999785,29.9691335018192,33.0
2024,143669648,2186462268813.08,,60.3891235376867,7.05233864500366,2.43,,,,,
2025,143513328,2561310169358.74,,,,2.133,,,,,
