Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health
2000,40567864,598102854756.08,2710.0,,1.72551798839458,13.785,84.3031120802178,2991.49306471374,1.34813027799556,6.80217838
2001,40850412,627798682378.741,2528.0,61.0042190551758,1.62958403293614,10.348,74.5785556965442,3048.84384472463,1.3989371157037,6.76929569
2002,41431558,708938227243.923,2763.0,63.7400817871094,1.45597370162444,11.146,65.1057260368599,3095.99686843763,1.35071366537132,6.79878616
2003,42187645,907963217057.645,2813.0,65.5322113037109,1.42254439300681,11.283,79.9859902203386,3145.4023925367,1.38096386713923,7.59223175
2004,42921895,1069829382514.67,2871.0,67.4735717773438,1.43022117967926,11.09,87.9273737826225,3226.28942874321,1.20274134358143,7.68447876
2005,43653155,1154667551775.88,3040.0,68.1358337402344,1.38717775355122,9.146,83.133053191255,3239.54436471806,1.17837383727999,7.77807474
2006,44397319,1261846683275.29,3111.0,68.9646224975586,1.37000746147478,8.452,104.839622557488,3190.72627710892,1.06498542161369,7.87072468
2007,45226803,1476746276854.51,3267.0,69.2297668457031,1.36310631227691,8.232,121.878348922177,3168.95970956596,1.0589564792395,7.96241188
2008,45954106,1636115447612.5,3632.0,69.4019393920898,1.36762048450666,11.254,57.9636535663716,3015.00798974738,0.880284469874308,8.4290638
2009,46362946,1496587590847.66,3596.0,71.4311676025391,1.35835383696039,17.857,95.8540935908394,2749.85548907362,0.883453221366359,9.1530304
2010,46576897,1427989078916.67,3566.0,76.3829116821289,1.3816644927099,19.86,82.0471947088589,2735.18257337486,0.856097274768039,9.16992569
2011,46742697,1487568659241.25,3430.0,80.7240905761719,1.32573618168037,21.39,69.3068883641221,2684.34318918947,0.819183054272952,9.21749687
2012,46773055,1330994811670.31,3266.0,82.89208984375,1.41695174735802,24.789,74.7627594995076,2677.18038552382,0.774166283792877,9.2189045
2013,46604197,1362186923157.65,3026.0,85.1826324462891,1.26618872678062,26.094,81.968268158949,2506.25540520067,0.644467548060687,9.13714981
2014,46460733,1380244561361.96,2953.0,87.9358520507812,1.24625944103127,24.441,71.937512944825,2458.57177736167,0.691349965151574,9.1512289
2015,46422303,1206164777553.12,2799.0,88.5305328369141,1.25969265356283,22.057,65.2640754107354,2552.40125248088,0.646906930185419,9.17553329
2016,46458139,1243015667917.12,2745.0,89.810791015625,1.12848106845526,19.635,56.6808082016392,2563.00704379932,0.629108853827649,8.88084984
2017,46571232,1321754088818.83,2167.0,92.070182800293,1.22211082849583,17.224,67.2468190201932,2690.49733287835,0.655022828665732,9.0217495
2018,46782011,1431642809327.06,1525.0,92.5194931030273,1.24562475871831,15.255,50.5496877632606,2666.26079715432,0.613681647994712,9.07122517
2019,47118501,1403496387686.27,1288.0,91.5387725830078,1.22464525288942,14.104,56.8071173531385,2573.90442450746,0.69779523479218,9.21539497
2020,47359424,1289783836971.21,1431.0,91.59912109375,1.35429599703865,15.532,58.8606120063316,2303.51311623486,0.69421884953507,10.79479218
2021,47443821,1461244901852.69,1308.0,95.3768997192383,1.33768901652321,14.914,53.0814259140659,2422.46704705393,0.607512242916661,10.34419918
2022,47786102,1448850658406.62,,95.0271606445312,1.4055469125943,13.033,45.9328003295995,2408.92811488939,0.679512839473507,9.6799593
2023,48352528,1619481980719.64,,93.7303466796875,1.4715775760116,12.179,47.5198353030165,2293.70814634203,0.690855954769765,9.2206583
2024,48848840,1725671652742.19,,93.7689666748047,1.43210737406914,11.4,43.6927754362693,2303.6111637731,,
2025,49355143,1906453309985.88,,,,10.376,68.0649577518167,,,
