Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini
2000,19293054,16595882818.6857,71.0,,5.03387296841704,7.74,6.4723281776285,431.626121530964,,4.10818672,79.202,28.8345435404203,,22.9886867106222,
2001,19600362,15749753804.8344,120.0,,4.28699058949232,7.9,8.45429088289169,410.76714173174,,4.05662823,84.364,30.7326783184288,,23.8133775946818,
2002,19805752,16536535647.0834,123.0,,3.34258944021437,8.76,10.1618019388261,413.992678676583,,4.03715754,96.301,31.0344654381181,,22.9069749065198,40.2
2003,19951521,18881765437.2151,95.0,,2.86891182725842,8.22,14.3581383267086,435.238621381633,,3.64646697,86.45,30.7454902363169,,20.4778355504733,
2004,20087605,20662525941.2985,120.0,,2.99735847919569,8.38,17.6987073622528,438.069918482433,,4.03912592,86.499,32.3863508511647,,20.7110918525129,
2005,20216524,24405791044.7761,149.0,,2.6395333951407,7.67,23.4370194742134,445.300894859361,6.02972088501167,3.87908745,76.589,33.0761025922139,,20.1959652345785,
2006,20352411,28267410542.5164,153.0,,2.79877359903086,6.5,27.4834158874052,446.350685504025,10.0430361788586,3.85019565,74.29,34.6704920581445,,21.1477261899901,39.7
2007,20492545,32350238760.4239,151.0,,3.26060835702917,5.97,23.3481120678475,451.980410920531,,3.82258177,71.849,34.2395036816845,,20.0467042670386,
2008,20629378,40713826215.0093,201.0,,3.24360178402603,5.22,10.5270135441605,437.226211399681,9.70460670215069,3.85482955,68.782,29.5420065164895,,19.2117908296268,
2009,20756435,42066224093.0065,202.0,,3.16189871004304,5.85,22.6943592058388,441.046700924692,5.2947435337523,4.05676842,72.75,25.7400301594433,,20.9584196862527,36.1
2010,20879089,58636049581.1712,225.0,15.8440563450578,2.70074784039336,4.784,33.9788579590768,467.337028685651,3.65437400070472,3.7414515,68.731,24.6842616568486,,16.3008487441341,
2011,21009048,67753285882.299,194.0,14.6727189156336,2.68531865302989,4.118,28.6878927669514,472.049545062096,3.48421308761825,3.5819521,69.428,33.7387969525402,3.81740370617271,15.5785036232024,
2012,21169458,70447216891.3366,,16.322805343317,2.15519951243996,3.88,24.0946495106855,481.969963365297,3.19327967678719,3.30659294,67.504,34.0180437825091,3.62758332957378,15.0683571125145,38.7
2013,20585000,76976204074.978,328.0,17.7655041707891,2.15404824269909,4.186,24.4316412143182,456.611626872059,2.89809922614196,3.69365358,69.457,33.539360763445,5.57505794057582,14.1567195341856,
2014,20778000,82531125461.843,,17.8701919678234,2.41264701190051,4.157,28.6741757943689,485.888973391929,2.56642825955881,3.46786141,69.561,34.4936288810274,4.23421449884782,14.2032918231114,
2015,20970000,85090300895.6546,218.0,18.1726459197686,2.41701116575955,4.519,24.4494493273821,501.51829450226,2.24114421871193,3.6826396,76.334,39.3818504426548,3.24077029740187,17.0880556546636,
2016,21209000,88000210878.1236,280.0,17.1510485178135,1.97935533284589,4.242,21.2258285069921,542.577379685228,2.41890147871327,3.61788416,75.0,42.4756652877165,2.63381101624579,15.6608133524729,39.3
2017,21453000,94369350439.4732,277.0,17.1941300290821,1.97692843257215,4.046,20.0907603069286,514.23622858293,2.20033736695316,3.33093429,72.26,43.8827525642367,2.4984326063791,15.3308825075697,
2018,21670000,94450015982.806,343.0,17.8869756778112,1.73469354853576,4.318,16.4902248431968,508.543364517116,2.3097886777035,3.6418879,83.585,46.6984073264081,3.42041976161882,15.284794927352,
2019,21803000,88998706177.9986,356.0,19.4563160693078,1.75219928060225,4.67,17.6637848740842,523.467212401339,3.31094038448808,3.70119572,82.594,47.0084929449139,4.69918303381587,15.9340645140859,37.7
2020,21919000,84335574372.2997,353.0,20.1614879343022,1.73988733298184,5.364,18.9503778434564,511.109950825019,,4.27431631,96.881,,4.92827495911881,19.0691715859134,
2021,22156000,88556699052.2008,266.0,20.7824292013914,1.71265688710699,4.981,30.5531939306489,527.156696517111,,5.19427729,102.669,,4.46720885923597,17.4670693341011,
2022,22181000,74143020303.663,,22.3679922774735,1.3433273089473,4.528,14.2942922430102,463.726722097872,,3.98300457,115.94,,11.9682691812072,15.7428689334656,
2023,22037000,84080307355.5983,,20.7412633848006,1.64003079587098,4.528,15.6066270601309,466.718993611413,,3.68313766,,,13.1079211175582,18.0350543940866,
2024,21916000,99616111265.7633,,,1.42539087177796,4.239,19.5764919471438,,,,,,12.9605592286262,,
2025,21756000,108825231671.196,,,,4.005,23.9952624947285,,,,,,9.87219855823573,,
