Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini,energy_pc,murder,health
2000,282162411,10250952000000,164795.0,,3.11224214697679,3.992,147.379004408566,162.620241986949,,17.9265301408103,40.1,8055.14548852416,5.53707946956534,12.49002075
2001,284968955,10581929000000,177513.0,,3.12380980266703,4.731,132.146662484694,170.849434711063,,19.5097642405274,40.6,7824.24393877407,6.69516821550341,13.16817093
2002,287625193,10929108000000,184245.0,,3.44761809928778,5.783,101.146680955115,162.404344473509,,20.0840187506611,40.4,7840.46095949898,5.65304262610104,13.99535275
2003,290107933,11456450000000,188941.0,,3.82716104473623,5.989,124.5260586831,177.400119261883,,20.6606182543458,40.8,7791.30391526846,,14.50557518
2004,292805298,12217196000000,189536.0,,4.01631273640692,5.529,133.612707285698,184.805504038329,,20.4485309067645,40.5,7878.53717143427,,14.55123138
2005,295516599,13039197000000,207867.0,80.6348266601562,4.08923187524508,5.084,130.382756468822,188.633073823051,,20.7451064662954,41.3,7843.3910574627,,14.57946205
2006,298379912,13815583000000,221784.0,,4.04134230166038,4.623,141.644203505563,198.283902773609,,20.5951410085264,41.7,7694.40657948116,5.79419136382991,14.70878792
2007,301231207,14474228000000,241347.0,,4.07335051467688,4.622,137.639671145155,206.35133732187,,20.8646436963685,41.1,7756.0141894981,5.67445011466685,14.91832542
2008,304093966,14769862000000,231588.0,,4.44659552156261,5.784,78.4724852540938,185.125593254636,,22.7876198166239,41.1,7484.83268900712,5.39888580801544,15.20723629
2009,306771529,14478067000000,224912.0,,4.87576835879774,9.254,104.138803474248,187.479963222695,4.95990413551278,25.5765165335953,40.9,7053.35846690965,4.9992946235203,16.20067596
2010,309378227,15048971000000,241977.0,,4.90402300595835,9.633,114.848062900779,181.920666527452,4.38774309355535,26.0545933672143,40.2,7162.55933024159,4.73280651793807,16.19722366
2011,311839461,15599732000000,247750.0,,4.82244197600452,8.949,100.262665025271,174.474559125537,3.78150447341426,25.3456995286842,41.2,7009.64607964907,4.66754631709583,16.14000511
2012,314339099,16253970000000,268782.0,,4.4617099699335,8.069,114.85399080963,175.443843579456,3.31729162388854,23.9119039840728,41.2,6820.46062064875,4.68473058437162,16.11975479
2013,316726282,16880683000000,287831.0,88.7264175415039,4.02370560438155,7.375,142.380811961222,184.162921715823,2.45239118205518,22.8814639786791,40.9,6888.38143742637,4.47313924865612,15.95227051
2014,319257560,17608138000000,285096.0,88.6268692016602,3.67891817387645,6.168,149.536476770003,184.794021331949,1.85071180176898,22.6100726834376,41.7,6915.64165280321,4.38357348743573,16.1415844
2015,321815121,18295019000000,288335.0,88.8894119262695,3.46449292564277,5.28,137.018385168116,183.632163440252,1.47342654705219,22.3735356601707,41.5,6789.64733291075,4.87019612648983,16.40155411
2016,324353340,18804913000000,295327.0,88.8350524902344,3.40260233575118,4.869,145.452418312172,186.327051044306,1.32052217577727,22.4159218391492,41.3,6663.4963294418,5.28982026159524,16.69203949
2017,326608609,19612102000000,293904.0,88.1673889160156,3.2977234873792,4.355,163.780010169231,194.090996653847,1.12682415706513,22.1406996557534,41.4,6590.83509745633,5.20582704229048,16.63827515
2018,328529577,20656516000000,285095.0,88.2991790771484,3.3040005391035,3.896,147.344852587919,183.054001756212,0.913161529735837,22.1694791125473,41.8,6738.27272433986,4.88693701574911,16.51312637
2019,330226227,21539982000000,285113.0,87.8887100219727,3.40921408383721,3.669,158.243991893772,194.735258917444,0.855251960083455,22.514337755714,41.9,6700.93033990565,4.93472178525416,16.54486084
2020,331578104,21375281000000,269586.0,87.5676574707031,3.64518757294704,8.055,194.476328849197,217.264343389463,1.06536914566418,31.7966159134937,40.0,6141.5241450627,6.35465593745812,18.51597404
2021,332100166,23725645000000,262244.0,84.8550872802734,3.40451991574826,5.349,204.624734627868,219.125940110191,0.813464699477564,31.2447973490289,39.7,6445.82621225492,6.77972198500888,17.35207748
2022,333996304,26054614000000,,79.361930847168,3.30947715843109,3.65,154.667347288277,187.087355429321,0.71607362746051,24.6132942134549,41.7,6512.09816744798,6.51267429794199,16.52875137
2023,336755052,27811517000000,,,3.304441637598,3.638,176.111924063689,191.075390105862,0.846592385960373,24.433337455127,41.8,6364.46726343838,5.76340794073065,16.69414902
2024,340003797,29298013000000,,,3.41921653228044,4.022,212.252227889994,195.875075677875,0.972922460845953,,41.8,6361.4447017904,,
2025,341784857,30769700000000,,,,4.198,224.04464850161,201.266130729677,0.960307384017485,,,,,
