Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,Gini
2000,24526708,117146466002.661,56.0,27.8114891052246,1.52657012884905,13.99,6.91442113142021,2391.36796026802,32.7072022874003,,27.7,10.4838423233885,
2001,24979922,122911036746.729,,,1.55510791113255,13.04,5.05715366538509,2188.40606705914,31.8655925319861,,30.729,12.3700667445056,47.2
2002,25435671,92893587733.6549,67.0,37.518970489502,1.15337359551171,16.17,4.28404166217623,2648.88652521803,37.8091067461912,,48.177,10.1271663738157,48.9
2003,25892703,83620628582.1082,85.0,39.2063407897949,1.18269062721142,16.78,,2432.12630470112,43.8038461298566,,56.029,8.90612621463873,47.9
2004,26340838,112451400424.964,84.0,41.2058296203613,1.28830181236512,15.07,,2305.02805179379,36.8970797360357,,41.783,11.081772129298,47.3
2005,26785804,145513489651.872,121.0,,1.83171374924625,10.663,,2371.58340737061,37.1988094364987,,34.913,13.214871769626,49.3
2006,27224686,183477522123.894,101.0,,1.9784922172232,8.606,,2377.64028480756,45.0216395516922,,25.658,17.0371328682102,44.7
2007,27649363,230364012575.687,63.0,,1.88899310620025,7.279,,2391.33788149518,47.5815663456695,,26.364,23.4811724669825,
2008,28053696,315953388510.678,51.0,78.2515029907227,1.79355285179574,6.245,,2346.01163837283,52.0038429160992,,20.311,21.4696738075916,
2009,28438298,329787628928.472,60.0,78.2699203491211,1.23107041540807,6.097,,2231.75458660546,49.1766420057909,,27.574,23.6136286787977,
2010,28813101,393192354510.653,70.0,,1.01348862784929,7.112,,2621.20702328211,45.3960162080437,,37.706,18.8543354200342,
2011,29185212,316482190800.364,61.0,,1.13040534078431,6.902,,2309.9066118944,48.3052863947894,,52.476,20.4742256485102,
2012,29553826,371846610182.327,65.0,,1.34147173233053,6.601,,2310.75269478151,54.3821288251794,,58.445,23.8729758931757,
2013,29912198,258512396297.714,74.0,,1.66955178280415,7.54,,2529.2097489945,,,85.399,27.472799415793,
2014,30254079,214838755021.964,55.0,,1.16181680999136,6.821,,2173.57093050952,62.9006092038036,,84.897,,
2015,30573972,125249941853.534,47.0,,0.941375968866619,6.139,,2098.46944015591,51.2004132142202,,129.762,,
2016,30765720,112948035494.959,35.0,,0.454046014282467,5.319,,2009.0681450604,56.5792047678519,,138.404,,
2017,30565323,115892475742.789,96.0,,2.23333219917076,5.045,,1933.19114696252,47.9792075487112,,133.61,,
2018,29807592,101987075928.918,,,0.150853892569221,5.468,,1451.3949056587,,2.41691327,175.313,,
2019,28938098,73014157107.594,,,1.79230375763991,5.89,,1379.73439965,41.0324133949647,2.18563724,206.02,,
2020,28444077,42837965906.8675,,,1.57552271230291,7.53,,1093.43160664363,29.475380243919,4.11615133,329.096,,
2021,28237826,56615026262.6535,,,0.313630729266034,7.027,,1409.82623845927,19.2791045599615,4.1022191,249.712,,
2022,28213017,89013251020.9831,,,0.649886788939365,5.646,,1364.68351163595,12.6466448562847,4.55045986,160.666,,
2023,28300854,102377501185.925,,,0.500704497643446,5.407,,1331.23284099658,,3.77611423,146.262,,
2024,28405543,120566112397.063,,,,5.321,,,,,,,
2025,28516896,99661244155.6306,,,,5.307,,,,,,,
