Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,debt_gdp
1980,9642505,56039256594.7242,1265.0,,4.6608059951787,,,,,,,22.526
1981,9729350,51618456334.5633,1221.0,,5.7357013089349,,,,,,,26.681
1982,9789513,53858346938.7755,1264.0,,5.62659345822855,,,,,,,29.31
1983,9846627,48741397058.8235,1191.0,,5.17247666277713,,,,,,,33.591
1984,9895801,47352146311.971,1277.0,,4.83544433693963,,,,,,,40.061
1985,9934300,47155741426.1041,1121.0,,4.69256693840525,,,,,,,46.621
1986,9967213,55595445472.2493,1249.0,,4.12801512211307,,,,,,,47.142
1987,10000595,64739630095.6215,1539.0,,4.25552044841929,,,,,,,52.413
1988,10036983,75200610136.9205,205.0,,4.19823223061689,,,,,,,57.069
1989,10089498,78067933277.3815,216.0,,3.7658694645888,,,,,,,59.821
1990,10196792,96529587274.2906,241.0,,3.79826032707078,,,,2102.69488021793,1.01379472430973,,73.155
1991,10319927,103680863712.844,188.0,,3.484865109943,7.572,,,2094.63547017199,1.33894214256357,,74.683
1992,10399061,114608178405.434,222.0,,3.62980089042347,8.927,,,2129.91226887459,1.32240728899315,,79.968
1993,10460415,107295704518.43,221.0,,3.60012469561704,10.177,,,2090.7776810471,1.44054157448601,,100.288
1994,10512922,114980063202.247,267.0,,3.58197232877289,9.808,,,2138.26711244512,1.27075007073922,,98.296
1995,10562153,134974613913.811,266.0,,3.09663675025723,10.116,,36.5,2147.14873218934,1.43546567005422,,98.99
1996,10608800,142502984144.96,267.0,,3.23732069026365,10.402,,,2206.11405582656,1.59885261038705,,101.336
1997,10661259,138766067640.085,293.0,,3.29602741401833,10.472,,,2284.8871389477,1.91106937511326,,99.451
1998,10720509,139612812175.718,276.0,,3.45541464568208,12.227,,,2392.93510906742,1.6486487777658,,97.425
1999,10761698,137131371955.307,290.0,,3.49420868804542,12.138,,,2393.20228327082,1.44482396707554,,98.907
2000,10805808,125760166224.805,306.0,52.6726303100586,3.59479870587568,11.345,,34.4,2512.02003858494,,7.51388931,104.934
2001,10862132,132050474720.03,385.0,59.9249114990234,3.35627566229104,10.764,64.1815413232622,,2583.56128087388,1.21735690880249,8.24545956,107.081
2002,10902022,150253800085.865,376.0,66.8908386230469,3.16565671755075,10.346,44.632122423311,35.5,2603.6056227148,0.863154597737589,8.46998692,104.863
2003,10928070,196930509813.384,393.0,72.9116668701172,2.56278132746133,9.839,54.1529446610675,32.8,2672.75982215817,,8.68253994,101.456
2004,10955141,234979615898.225,379.0,80.4148406982422,2.67202808458836,10.628,53.2989338335821,33.6,2717.47100440097,1.01394257823949,8.30002213,102.873
2005,10987314,242315668619.405,462.0,90.3474731445312,2.90167987543818,10.074,59.8891276106189,34.6,2758.67496021751,1.20203980691416,8.76117897,107.395
2006,11020362,269073415333.676,532.0,95.0775375366211,2.82969288184235,8.906,74.5878368366931,35.1,2748.70086926019,0.99853818548455,8.39596939,103.612
2007,11048473,314226996944.108,575.0,90.5404281616211,2.71917513817491,8.351,84.3214690579654,34.0,2737.50471822283,1.17692468944918,8.52304935,103.103
2008,11077841,351121399546.485,628.0,,3.02372412926418,7.664,25.689120662114,33.6,2749.77926334315,1.30000599447209,8.948102,109.415
2009,11107017,326829054686.306,698.0,,3.26904009456305,9.546,34.4621747623098,33.6,2654.84323438585,1.36837464729468,9.53581333,126.745
2010,11121341,296417644404.034,728.0,101.694053649902,2.75678087939637,12.719,22.8010785713808,34.1,2487.52918925294,1.58206940071031,9.61952496,147.494
2011,11104899,283228079776.041,722.0,105.812690734863,2.52021146748907,17.973,11.9263916299225,34.8,2413.16129816794,1.65633803374762,9.18577003,175.219
2012,11045011,238841140018.233,628.0,110.122978210449,2.47639628901893,24.731,18.7892881421409,36.3,2408.75576544664,1.50249393628294,9.04327774,162.115
2013,10965211,236556279640.705,698.0,112.705833435059,2.39130807647224,27.686,34.9152599649642,36.1,2133.12835852595,1.39502562128674,8.52183914,178.843
2014,10892413,233911581521.062,651.0,119.104209899902,2.36784026258467,26.708,23.5791103806605,35.8,2128.79231677777,0.982267185579143,7.94358587,181.753
2015,10820883,194567373678.099,550.0,,2.47743424261411,24.981,21.6272539452675,36.0,2148.04707916151,0.859447721666469,8.26719952,179.08
2016,10775971,193097239005.87,606.0,131.403213500977,2.57279833754101,23.514,19.2457692157776,35.0,2109.41656684289,0.779545903374914,8.45097542,183.698
2017,10754679,200381103984.298,498.0,135.333923339844,2.556623889921,21.413,25.2544072239294,34.4,2148.0515638287,0.799737128265793,8.11336899,183.205
2018,10732882,213298873494.394,430.0,140.950317382812,2.70054108209766,19.179,17.9892417486249,32.9,2089.36044213673,0.922574259889262,8.07267761,190.674
2019,10721582,207305649887.019,356.0,143.96272277832,2.59648367110305,17.045,25.8815811480494,33.1,2058.5433840771,0.727708640014711,8.11709499,185.536
2020,10698599,191362985554.861,400.0,143.693344116211,3.02310765728834,15.899,26.6440711364125,33.6,1839.48818892263,0.72901495405944,9.38074493,213.152
2021,10570130,218303801895.326,394.0,150.605484008789,3.80247367841764,14.656,27.1375988350427,32.9,1923.83371318401,0.841244735958326,9.03178692,201.167
2022,10437805,217990189600.69,,166.389556884766,4.00035246143373,12.426,27.0816223923378,33.4,1957.62559519573,1.12365161805833,8.44938278,179.588
2023,10407351,242946187738.269,,165.113418579102,2.88325472633445,11.023,33.4712023090498,33.4,1874.9562305559,0.839605274224601,8.39367008,168.869
