Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,debt_gdp
1980,67300334,205577055465.993,704.0,,0.416107382550336,,0.631879855003996,,,,,
1981,68892108,263797827860.494,765.0,,0.513301014380576,,0.382868959987846,,,,,
1982,70433260,184602611609.517,550.0,,0.495419417575106,,0.931731130455645,,,,,
1983,71971240,156167000432.994,730.0,,0.522866313988212,,1.94023064514201,,,,,
1984,73506846,184230754105.394,688.0,,0.659819059927896,,1.98663899400108,48.5,,,,
1985,75043414,195241069482.077,590.0,,0.676313139343828,,2.00265241855733,,,,,
1986,76585637,134556034672.991,629.0,,0.634622463096704,,4.10238010759988,,,,,
1987,78136651,147542558208.888,742.0,,0.580341889191456,,6.13382342685639,,,,,
1988,79695531,181611150496.787,652.0,,0.536145374184792,,8.36953015187736,,,,,
1989,81247182,221403098266.77,757.0,,0.517255829376633,,12.2310844843604,50.1,,,,
1990,82820170,261253675692.838,661.0,,0.433081035474032,,15.7126975883254,,1502.65916196056,17.4993603611294,,
1991,84430572,313139656145.745,564.0,,0.435402300782292,3.145,32.8160288814306,,1547.4413301937,17.9176802336618,,
1992,86044809,363157832923.734,565.0,,0.469454655731209,3.235,38.2048760680696,52.3,1532.05083523555,19.2853005228938,,
1993,87653807,530160763662.543,553.0,,0.400441266975791,3.365,37.8876095266557,,1529.66917943226,18.2992621284592,,
1994,89259205,553618247900.74,498.0,,0.476011477226271,4.436,23.5262928008385,53.4,1536.71971480805,17.7449486456044,,
1995,90862455,380157469866.849,432.0,,0.411044545371404,7.095,23.8569453946981,,1461.03050354057,17.182014381969,,
1996,92452702,432157945024.428,386.0,,0.43569107787377,5.465,24.7063512841271,52.0,1467.31082127073,15.6891033012258,,42.537
1997,94021207,523449530464.257,420.0,,0.417243861215643,4.235,29.915971050946,,1518.26280329371,14.4137694382077,,39.12
1998,95575245,557461102630.658,453.0,,0.405987604918763,3.733,16.4577940177443,53.3,1536.12241939376,14.2882186700123,,39.708
1999,97115707,631249359702.389,455.0,,0.420263793911023,2.598,24.4030156438695,,1555.69407717508,12.6127898786382,,41.667
2000,98625552,742061329749.127,431.0,20.5259704589844,0.4085181378342,2.646,16.872436951044,53.4,1541.32297457171,10.8866310831903,4.24436522,38.455
2001,100099099,796064590549.136,534.0,21.3776397705078,0.405679210443065,2.627,15.8603185594407,,1563.12708165755,10.2748177070264,4.58201361,37.315
2002,101548624,810666116401.915,526.0,22.3153591156006,0.391316389699324,3.003,12.8216966143023,50.6,1556.55451556538,9.93415725652767,4.83042812,39.866
2003,102978515,765549967888.647,468.0,23.0477905273438,0.386714351968895,3.455,16.0058735732091,,1644.23440955963,9.79524704840011,5.53978777,42.133
2004,104394131,819459227375.022,565.0,23.7031497955322,0.348326583014086,3.937,20.9164756798276,50.3,1651.99432971724,8.93632612354424,5.6835022,38.906
2005,105811504,917571853437.344,584.0,24.130989074707,0.340404650226474,3.558,26.0609508785819,50.9,1718.63669370638,9.37610715749773,5.58110142,36.841
2006,107253666,1020265057882.01,574.0,24.5689697265625,0.297483414235144,3.566,34.1426110116069,49.7,1723.71763802356,9.74512148491559,5.40647888,35.777
2007,108774360,1102355554880.44,629.0,25.1474304199219,0.383092431979546,3.628,36.0795242731948,,1693.77880726541,8.15173722925145,5.50668049,35.529
2008,110374288,1161553459984.65,685.0,25.7789402008057,0.37317675556547,3.874,20.1501633857724,50.8,1678.23287321257,12.6895495806052,5.44587374,40.605
2009,111999721,943437414950.633,822.0,26.2105903625488,0.478488795822754,5.356,37.3151874645995,,1616.79369985205,17.6812940453664,5.84786463,41.667
2010,113623895,1105424238651.95,951.0,27.1670207977295,0.433229899207479,5.303,41.1014345545803,47.7,1581.82622504404,22.6686472946558,5.4897337,40.155
2011,115243504,1229013703416.76,1065.0,28.0361595153809,0.447386999972132,5.175,33.2534803203422,,1632.53833582198,23.6134785680132,5.30093002,41.167
2012,116818208,1255110424741.85,1294.0,29.3496494293213,0.455502051174913,4.892,41.8335048175535,49.6,1652.16322037583,22.2285552341782,5.42140484,40.815
2013,118343573,1327436290439.27,1210.0,30.3301601409912,0.48764287589738,4.921,39.6264320772738,,1633.00512016612,19.4881727966757,5.5773263,44.066
2014,119784261,1364507717689.36,1246.0,31.2052898406982,0.495321031372806,4.819,35.1955004558889,48.9,1582.66666115179,16.7050327254596,5.35336781,47.093
2015,121072306,1213294467653.78,1364.0,31.9718608856201,0.45074282393045,4.311,33.153804844908,,1539.13826670827,17.1484302942078,5.52738619,50.973
2016,122251351,1112233497452.7,1310.0,38.589771270752,0.480046272445401,3.853,31.5409987585363,46.9,1525.3837445098,20.0889396309777,5.38499022,55.003
2017,123400057,1190721475853.16,1334.0,40.3390693664551,0.424849155540147,3.419,35.0225076524466,,1478.43896510686,25.9959360229634,5.3117938,52.521
2018,124573711,1256300182983.65,1555.0,41.6382789611816,0.464611544931539,3.275,,46.0,1493.47882156246,29.4484283285099,5.23821402,52.202
2019,125762982,1304106204006.27,1305.0,43.0441398620605,0.509337628297564,3.477,,,1469.65350320528,29.150867187807,5.3013463,51.859
2020,126799054,1121064767168.8,1132.0,45.1654510498047,0.717690608258695,4.44,35.6461742178569,44.6,1366.42722558757,29.0010048931398,6.05248594,58.505
2021,127648148,1316569466833.94,1117.0,45.6506195068359,0.659404192954647,4.019,34.917080456491,,1417.70559078908,27.9675034061893,5.87678003,56.895
2022,128613117,1466934724243.38,,46.4061317443848,0.685819352028866,3.256,30.9741410091956,43.5,1441.98382794786,25.8814968854168,5.70919704,54.169
2023,129739759,1794410347718.25,,47.474681854248,0.660371879752505,2.765,32.1368092160905,,1467.10931902847,24.8589948436701,5.50398684,53.097
2024,130861007,1830489311088.89,,48.203441619873,0.893257529320534,2.678,,42.6,1558.75790867013,,,57.746
2025,131946900,1832641364775.52,,,,2.673,30.5792121017984,,,,,57.932
