Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health
1980,139010000,,,44.4385681152344,,,,,,,
1981,139941000,,,45.9019889831543,,,,,,,
1982,140823000,,,46.9566307067871,,,,,,,
1983,141668000,,,49.3985214233398,,,,,,,
1984,142745000,,,51.7290802001953,,,,,,,
1985,143858000,,,54.2255516052246,,,,,,,
1986,144894000,,,55.5937118530273,,,,,,,
1987,145908000,,,56.2717399597168,,,,,,,
1988,146857000,554828660436.137,,54.9752197265625,,,,,,,
1989,147721000,506631299734.748,,53.5481414794922,,,,,,,
1990,147969406,517014446227.929,,52.3742599487305,,,,,5942.67811987717,14.1932240689117,
1991,148394216,517962962962.963,,50.4663314819336,,,,,5871.9943382327,15.1363246478469,
1992,148538197,460290556900.726,39494.0,48.4463882446289,4.42703232125367,,,,5357.07699443819,22.7725711471779,
1993,148458777,435083713850.837,28503.0,46.1837692260742,4.18132464712269,,,45.4,5060.11636686839,30.4181125508508,
1994,148407912,395077301248.464,21250.0,44.2100410461426,4.5237006553879,,,,4427.26643919973,32.300784146238,
1995,148375787,395537185734.854,17551.0,42.86083984375,3.78442996742671,,,,4291.53342502059,30.5189640696838,
1996,148160129,391724890744.498,18014.0,43.8972396850586,3.75655882080282,,,46.1,4254.59294421479,26.3923491157494,
1997,147915361,404928954191.876,15106.0,45.2858200073242,4.03980929678188,,,38.4,4070.65837100817,23.6686557817611,
1998,147670784,270955486862.442,16454.0,47.279411315918,2.73264908865687,,,38.1,3982.26585700237,22.7269138890421,
1999,147214776,195907128350.934,19900.0,52.1262397766113,3.07328792235108,,,37.4,4137.74703962256,25.9606678936515,
2000,146596869,259710142196.943,23377.0,55.2136611938477,3.30702983667541,,,37.1,4224.98951887146,28.0061484707895,5.01989794
2001,145976482,306602070620.5,24777.0,60.3866996765137,3.54631922908818,,,36.9,4287.90829493258,29.3743483488237,5.24284792
2002,145306497,345470494417.863,23712.0,65.0104217529297,3.75627739108018,,,37.3,4289.43957286052,30.3221540432851,5.52166557
2003,144648618,430347420184.885,24969.0,69.0352096557617,3.67083808960104,,,40.0,4461.83176005763,28.6458525438416,5.16368914
2004,144067316,591016690732.385,22985.0,69.818717956543,3.30035364660483,,,40.3,4494.50152836851,27.039519153371,4.7603755
2005,143518814,764015973481.11,23644.0,72.2228012084961,3.33123723441659,,,41.3,4541.20863501769,24.6448972080224,4.77177477
2006,143049637,989932071352.543,27884.0,73.4398880004883,3.24635723405838,,,41.0,4689.15108443259,20.0162456079663,4.76654387
2007,142805114,1299703478481.65,27505.0,76.1305465698242,3.1185420747754,,,42.3,4710.47452096269,17.6400957311458,4.74792528
2008,142742366,1660848058303.11,27712.0,77.5339736938477,3.14948602002222,,,41.6,4822.38136319959,12.6470810308557,4.90364122
2009,142785348,1222645900055.7,25598.0,77.8685607910156,3.92406340302834,,62.3022520228711,39.8,4529.20319928613,12.2743494414076,5.64392471
2010,142849468,1524916715223.95,28722.0,,3.58508572012112,,62.3834443220917,39.5,4853.36753031766,11.5955549228756,4.97111797
2011,143018195,2045922753398.04,26495.0,80.1629736412764,3.43304383760131,,38.2983555316841,39.7,5004.23439250465,11.2292273482455,4.79491472
2012,143378447,2208293553878.42,28701.0,80.5323453975492,3.68924043459907,,37.3745813164403,40.7,5056.08323400834,11.2598822758413,4.93637276
2013,143805638,2292470078346.22,28765.0,82.8009567260742,3.85404258314373,,33.6168671198513,40.9,4919.89870162422,11.0875143078155,5.08104849
2014,144237223,2059241589895.01,24072.0,84.5181387513356,4.11299297822323,,18.7412046208563,36.9,4915.75746633152,11.3961892650078,5.1820941
2015,144640716,1363482182197.71,29269.0,84.2355651240256,4.87151474680202,,28.8406966467407,36.5,4804.23014928516,11.4556968970425,5.29604626
2016,145015460,1276786350881.14,26795.0,83.860044350614,5.42514770504505,,48.7200957478332,36.7,4936.04266971322,10.8822499466091,5.28970337
2017,145293260,1574199360089.0,22777.0,81.7051021681418,4.24899605173948,,39.602665063004,35.5,5018.77352571388,9.09316032017364,5.35890055
2018,145398106,1657328773461.31,24926.0,81.5681115998523,3.71982243956434,,34.7617412564913,35.3,5279.09416060338,8.17044875503453,5.35520792
2019,145453291,1693115002708.32,23337.0,80.9520697471091,3.86033750437073,,46.749301656053,35.7,5082.7299560342,7.64469087376708,5.64849091
2020,145245148,1493075894362.14,23759.0,57.2232854739754,4.14471713241985,,46.530736489909,33.7,5068.38550364971,7.30812673633554,8.04076004
2021,144746762,1829186719575.1,19569.0,54.9542479280814,3.57591678846302,,46.0231916726114,35.1,5710.55279279027,6.76512531955806,7.0299139
2022,144236933,2292495097681.47,,53.9151941239211,4.60728884010235,,23.1234662414818,33.9,5707.1572675389,,6.8788662
2023,143826130,2046284838151.09,,93.7277679443359,5.40231844120686,,31.7887215832447,33.0,5498.30525622561,,7.04438496
2024,143669648,2186462268813.08,,60.3891235376867,7.05233864500366,,,,,,
2025,143513328,2561310169358.74,,,,,,,,,
