Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,debt_gdp
1980,45408815,68823684210.5263,134.0,,3.90031329667967,,,,,,,
1981,46321190,71180180180.1802,157.0,,3.82453186997909,,,,,,,
1982,47322096,64369325153.3742,126.0,,4.29815131212686,,,,,,,
1983,48447410,61803555555.5556,,,3.93760520546007,,,,,,,
1984,49574069,59937602179.8365,153.0,,3.59709381495019,,,,,,,
1985,50687115,67232758620.6897,132.0,,3.53104315878258,,,,,,,
1986,51777772,75673037037.037,174.0,,3.63799248252089,,,,,,,
1987,52843670,87190081680.28,138.0,,3.32858525048377,,,41.0,,,,
1988,53909626,90875175808.7201,153.0,,2.93220863643399,,,,,,,
1989,54976723,107127191328.935,162.0,,3.14872652091673,,,,,,,
1990,56015628,150655500191.644,138.0,,3.52770569378721,,,,918.261888219127,,,
1991,57009887,151034731543.624,148.0,,3.75436424807973,8.21,,,887.162812412747,,,
1992,57990118,159104772991.851,189.0,,3.87056650021036,8.509,,,911.309124510702,,,
1993,58999167,180415757851.616,169.0,,3.9214172544983,8.962,20.293510076937,,955.118552884009,,,
1994,60033836,130650447499.071,151.0,,4.05135933699201,8.577,16.5365373127816,41.3,927.181663056975,,,
1995,61024503,234699627004.035,170.0,,3.90164973474904,7.644,8.85034214376611,,997.967536333338,,,
1996,61951134,250366965174.129,189.0,,4.13969694261893,6.629,12.1069486858693,,1073.12750011037,,,
1997,62852966,263817553748.395,203.0,,4.10367223056831,6.841,23.1580609902353,,1109.80579406891,,,
1998,63734383,276035372654.608,207.0,,3.18220800142332,6.888,12.1888690121245,,1111.04759170567,,,
1999,64591923,256673939247.773,276.0,,3.88141296380978,7.687,43.9140180457483,,1079.90999533335,,,
2000,65425961,274748463178.502,277.0,,3.64342934046749,6.495,25.3726332782831,,1166.01412005443,,4.59957218,51.318
2001,66245128,202195080239.036,337.0,,3.57667970794229,8.381,23.9313389538437,,1060.57071953568,,4.88784933,75.509
2002,67048795,240778008473.845,414.0,,3.76709151041563,10.358,14.9697932250799,41.4,1107.27991011855,,5.06227875,71.506
2003,67831730,315392899922.379,489.0,,3.26703119500148,10.542,21.6805768350615,42.2,1159.99665803769,4.18240847006562,5.01427698,65.16
2004,68592617,410156784495.948,682.0,,2.67100029372768,10.838,23.9659573401427,41.3,1176.75430160118,4.24827062656029,4.9096446,57.158
2005,69329557,508314210212.544,928.0,,2.38609105306995,10.636,31.4760431216549,42.6,1211.46561646669,4.76708660324403,4.89389706,50.196
2006,70045349,559668118237.002,1072.0,,2.34016133817719,10.227,28.7447336658677,39.6,1328.69230138979,4.52278419997034,5.14591694,44.225
2007,70158112,685228481017.03,1810.0,,2.19980660446648,10.285,41.5234987865206,38.4,1429.92300570179,5.08688366199539,5.23760796,37.759
2008,71051678,775415944332.866,2221.0,,2.18178699504167,10.965,15.1640356197685,39.0,1385.17801532797,4.55127664672389,5.21761751,37.748
2009,72039206,653894449921.288,2555.0,,2.47155127527395,14.026,35.4302517826673,39.0,1364.09730379872,,5.49438715,43.212
2010,73142150,782545664268.333,3180.0,,2.27171515093383,11.879,38.6486250975244,38.8,1445.41016354332,4.17741645852185,5.02053452,39.511
2011,74223629,844192507380.795,3885.0,,2.0275060358965,9.789,23.3447298189659,40.0,1515.88033612695,4.1244918510834,4.6530509,35.912
2012,75175827,885327622479.052,4434.0,,2.00944811786941,9.21,35.6023603010825,40.2,1567.31606123672,4.27675507086876,4.44444656,32.227
2013,76147624,962167643588.925,4392.0,,1.92395966496054,9.713,20.3442218520113,40.2,1510.79118967025,,4.37099934,30.892
2014,77181884,942343431928.654,4766.0,,1.87196639443904,9.901,23.3208565533503,41.2,1543.09095693879,,4.32517862,28.277
2015,78218479,865460050683.656,5352.0,,1.81284855723729,10.304,21.8221383934257,42.9,1646.83631130339,2.79325328973375,4.11690426,27.163
2016,79277962,870818016909.84,6230.0,,2.05032437865497,10.899,19.7245502231899,41.9,1724.54363987712,3.31161155785991,4.28469229,27.747
2017,80312698,863874522365.276,8175.0,,2.05006599219326,10.919,26.3362113489672,43.5,1828.02986770908,3.05836302689691,4.17974997,27.777
2018,81407204,788356985773.667,7156.0,,2.52209022414858,10.956,18.9334987440389,42.4,1771.33742856964,2.55994219861376,4.12101603,29.86
2019,82579440,775853144222.613,7871.0,,2.68985897943633,13.73,23.8403441910817,43.8,1774.19625722275,2.39580104761995,4.35954332,32.39
2020,83384680,733628247119.077,7920.0,,2.19555218691023,13.148,32.3697487020909,43.0,1762.01062220058,2.49036807460102,4.61640215,39.446
2021,84147318,839938668172.134,8234.0,,1.85888321091456,11.969,16.4768268498906,44.4,1894.62719281739,2.49751250926437,4.56065559,40.384
2022,84979913,926097476913.818,,,1.65879843534611,10.465,35.6345879593311,44.5,1841.55630679263,2.62122678525057,3.70338893,30.802
2023,85325965,1141242864657.45,,,1.71991880187465,9.388,29.5804723476915,43.7,1849.53592344542,3.22789482308636,4.27524424,29.264
2024,85518661,1359123768774.12,,,1.92255231276371,8.8,27.8827608424366,,1924.93815098993,,,25.228
2025,85878556,1597293229287.0,,,,8.52,25.3144659093366,,,,,26.03
