Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,debt_gdp
1980,227225000,2857307000000,62098.0,52.8782386779785,5.15353746651636,,47.5901889436452,34.7,,,,
1981,229466000,3207041000000,62404.0,55.3480186462402,5.64654125624258,,39.3995804855629,35.5,,,,
1982,231664000,3343789000000,63316.0,56.8819313049316,6.81405709441284,,43.5692922011526,36.7,,,,
1983,233792000,3634038000000,59391.0,57.5493507385254,6.32114425976717,,49.7802829799798,37.3,,,,
1984,235825000,4037613000000,61841.0,58.7549095153809,6.23641652963897,,39.6808634210361,37.3,,,,
1985,237924000,4338979000000,63673.0,59.2420692443848,6.4532192046686,,53.0276339203301,37.6,,,,
1986,240133000,4579631000000,65195.0,60.9534912109375,6.62652265789842,,55.4180500568714,37.6,,,,
1987,242289000,4855215000000,68315.0,64.0167388916016,6.42027402288488,,52.1453262110947,37.2,,,,
1988,244499000,5236438000000,75192.0,66.8240585327148,6.0712777020948,,53.0883913836085,37.7,,,,
1989,246819000,5641580000000,82370.0,68.5826797485352,5.87120600804653,,59.9518858192208,38.2,,,,
1990,249623000,5963144000000,90643.0,71.4957275390625,5.60517529438794,,51.8761327916951,38.3,7669.4512686363,9.25037955939706,,
1991,252981000,6158129000000,87955.0,72.8127975463867,4.88342939776313,6.8,67.5464122300783,38.0,7629.84715395512,9.63187233852536,,
1992,256514000,6520327000000,92425.0,77.0626602172852,4.97046680768284,7.5,69.7180371475234,38.4,7675.63655553518,9.15233015234456,,
1993,259919000,6858559000000,99955.0,78.7144165039062,4.60435029507644,6.9,76.562432866729,40.4,7708.10161116809,9.33849837151796,,
1994,263126000,7287236000000,107233.0,79.476432800293,4.2152646751779,6.119,70.5032725713837,40.0,7755.08252133275,8.78652102623221,,
1995,266278000,7639749000000,123962.0,80.342529296875,3.8602457917389,5.65,90.9980943091193,39.9,7760.89035266192,8.05575436588861,,
1996,269394000,8073122000000,106892.0,79.3373336791992,3.55498220635218,5.451,105.046065202533,40.3,7841.59288605808,7.25280570053619,,
1997,272657000,8577552000000,119214.0,,3.40556224418855,5.0,125.561966864206,40.5,7825.23663798017,6.65818273718576,,
1998,275854000,9062817000000,134733.0,70.8996200561523,3.20155849896996,4.511,142.588998542065,40.0,7800.439490719,6.14734210977422,,
1999,279040000,9631172000000,149251.0,71.37548828125,3.08567678324746,4.219,153.432909307403,40.0,7920.05392329598,5.56772173977322,,
2000,282162411,10250952000000,164795.0,,3.11224214697679,3.992,147.379004408566,40.1,8055.14548852416,5.53707946956534,12.49002075,
2001,284968955,10581929000000,177513.0,,3.12380980266703,4.731,132.146662484694,40.6,7824.24393877407,6.69516821550341,13.16817093,53.146
2002,287625193,10929108000000,184245.0,,3.44761809928778,5.783,101.146680955115,40.4,7840.46095949898,5.65304262610104,13.99535275,55.538
2003,290107933,11456450000000,188941.0,,3.82716104473623,5.989,124.5260586831,40.8,7791.30391526846,,14.50557518,58.625
2004,292805298,12217196000000,189536.0,,4.01631273640692,5.529,133.612707285698,40.5,7878.53717143427,,14.55123138,66.105
2005,295516599,13039197000000,207867.0,80.6348266601562,4.08923187524508,5.084,130.382756468822,41.3,7843.3910574627,,14.57946205,65.453
2006,298379912,13815583000000,221784.0,,4.04134230166038,4.623,141.644203505563,41.7,7694.40657948116,5.79419136382991,14.70878792,64.189
2007,301231207,14474228000000,241347.0,,4.07335051467688,4.622,137.639671145155,41.1,7756.0141894981,5.67445011466685,14.91832542,64.585
2008,304093966,14769862000000,231588.0,,4.44659552156261,5.784,78.4724852540938,41.1,7484.83268900712,5.39888580801544,15.20723629,73.431
2009,306771529,14478067000000,224912.0,,4.87576835879774,9.254,104.138803474248,40.9,7053.35846690965,4.9992946235203,16.20067596,86.598
2010,309378227,15048971000000,241977.0,,4.90402300595835,9.633,114.848062900779,40.2,7162.55933024159,4.73280651793807,16.19722366,95.162
2011,311839461,15599732000000,247750.0,,4.82244197600452,8.949,100.262665025271,41.2,7009.64607964907,4.66754631709583,16.14000511,99.498
2012,314339099,16253970000000,268782.0,,4.4617099699335,8.069,114.85399080963,41.2,6820.46062064875,4.68473058437162,16.11975479,103.065
2013,316726282,16880683000000,287831.0,88.7264175415039,4.02370560438155,7.375,142.380811961222,40.9,6888.38143742637,4.47313924865612,15.95227051,104.343
2014,319257560,17608138000000,285096.0,88.6268692016602,3.67891817387645,6.168,149.536476770003,41.7,6915.64165280321,4.38357348743573,16.1415844,104.242
2015,321815121,18295019000000,288335.0,88.8894119262695,3.46449292564277,5.28,137.018385168116,41.5,6789.64733291075,4.87019612648983,16.40155411,104.661
2016,324353340,18804913000000,295327.0,88.8350524902344,3.40260233575118,4.869,145.452418312172,41.3,6663.4963294418,5.28982026159524,16.69203949,106.582
2017,326608609,19612102000000,293904.0,88.1673889160156,3.2977234873792,4.355,163.780010169231,41.4,6590.83509745633,5.20582704229048,16.63827515,105.529
2018,328529577,20656516000000,285095.0,88.2991790771484,3.3040005391035,3.896,147.344852587919,41.8,6738.27272433986,4.88693701574911,16.51312637,106.847
2019,330226227,21539982000000,285113.0,87.8887100219727,3.40921408383721,3.669,158.243991893772,41.9,6700.93033990565,4.93472178525416,16.54486084,108.004
2020,331578104,21375281000000,269586.0,87.5676574707031,3.64518757294704,8.055,194.476328849197,40.0,6141.5241450627,6.35465593745812,18.51597404,131.831
2021,332100166,23725645000000,262244.0,84.8550872802734,3.40451991574826,5.349,204.624734627868,39.7,6445.82621225492,6.77972198500888,17.35207748,124.524
2022,333996304,26054614000000,,79.361930847168,3.30947715843109,3.65,154.667347288277,41.7,6512.09816744798,6.51267429794199,16.52875137,118.617
2023,336755052,27811517000000,,,3.304441637598,3.638,176.111924063689,41.8,6364.46726343838,5.76340794073065,16.69414902,118.725
2024,340003797,29298013000000,,,3.41921653228044,4.022,212.252227889994,41.8,6361.4447017904,,,121.005
2025,341784857,30769700000000,,,,4.198,224.04464850161,,,,,124.12
